месяц,число,ИАБО-01-19,время,№                      ауд,Ссылка,ИАБО-02-19,время,№                      ауд,Ссылка,ИВБО-07-19,время,№                      ауд,Ссылка,ИВБО-09-19,время,№                      ауд,Ссылка,месяц,число,ИВБО-10-19,время,№                      ауд,Ссылка,ИВБО-11-19,время,№                      ауд,Ссылка,ИВБО-01-19,время,№                      ауд,Ссылка,ИВБО-04-19,время,№                      ауд,Ссылка,месяц,число,ИВБО-05-19,время,№                      ауд,Ссылка,ИВБО-06-19,время,№                      ауд,Ссылка,ИВБО-02-19,время,№                      ауд,Ссылка,ИВБО-03-19,время,№                      ауд,Ссылка,месяц,число,ИКБО-04-19,время,№                      ауд,Ссылка,ИКБО-05-19,время,№                      ауд,Ссылка,ИКБО-14-19,время,№                      ауд,Ссылка,ИКБО-15-19,время,№                      ауд,Ссылка,месяц,число,ИКБО-06-19,время,№                      ауд,Ссылка,ИКБО-07-19,время,№                      ауд,Ссылка,ИКБО-11-19,время,№                      ауд,Ссылка,ИКБО-12-19,время,№                      ауд,Ссылка,месяц,число,ИКБО-25-19,время,№                      ауд,Ссылка,ИКБО-08-19,время,№                      ауд,Ссылка,ИКБО-09-19,время,№                      ауд,Ссылка,ИКБО-17-19,время,№                      ауд,Ссылка,месяц,число,ИКБО-18-19,время,№                      ауд,Ссылка,ИКБО-01-19,время,№                      ауд,Ссылка,ИКБО-03-19,время,№                      ауд,Ссылка,ИКБО-10-19,время,№                      ауд,Ссылка,месяц,число,ИКБО-13-19,время,№                      ауд,Ссылка,ИКБО-16-19,время,№                      ауд,Ссылка,ИКБО-20-19,время,№                      ауд,Ссылка,ИКБО-24-19,время,№                      ауд,Ссылка,месяц,число,ИКБО-02-19,время,№                      ауд,Ссылка,ИМБО-01-19,время,№                      ауд,Ссылка,ИНБО-05-19,время,№                      ауд,Ссылка,ИНБО-06-19,время,№                      ауд,Ссылка,месяц,число,ИНБО-01-19,время,№                      ауд,Ссылка,ИНБО-04-19,время,№                      ауд,Ссылка,ИНБО-07-19,время,№                      ауд,Ссылка,ИНБО-10-19,время,№                      ауд,Ссылка,месяц,число,ИНБО-02-19,время,№                      ауд,Ссылка,,время,№                      ауд,Ссылка,,время,№                      ауд,Ссылка,,время,№                      ауд,Ссылка
Я            Н           В          А          Р          Ь,09 пн,Консультация,13-00,А-9,,Консультация,13-00,А-9,,Консультация,13-00,А-9,,Консультация,13-00,А-9,,Я            Н           В          А          Р          Ь,09 пн,Консультация,13-00,А-9,,Консультация,13-00,А-9,,Консультация,12-00,А-17,,Консультация,12-00,А-17,,Я            Н           В          А          Р          Ь,09 пн,Консультация,12-00,А-17,,Консультация,12-00,А-17,,Консультация,12-00,А-17,,Зачёт,9-00,Г-427,,Я            Н           В          А          Р          Ь,09 пн,,,,,,,,,,,,,,,,,Я            Н           В          А          Р          Ь,09 пн,,,,,,,,,Зачёт,13-00,Г-427,,,,,,Я            Н           В          А          Р          Ь,09 пн,,,,,Консультация,11-00,Б-115,,Консультация,11-00,Б-115,,Консультация,11-00,Б-115,,Я            Н           В          А          Р          Ь,09 пн,Консультация,11-00,Б-115,,,,,,,,,,,,,,Я            Н           В          А          Р          Ь,09 пн,Консультация,11-00,А-2,,Консультация,11-00,А-2,,Консультация,11-00,А-2,,Консультация,11-00,А-2,,Я            Н           В          А          Р          Ь,09 пн,,,,,Консультация,9-00,А-7,,Консультация,9-00,А-7,,Консультация,9-00,А-7,,Я            Н           В          А          Р          Ь,09 пн,,,,,,,,,,,,,,,,,Я            Н           В          А          Р          Ь,09 пн,,,,,,,,,,,,,,,,
,,Технические средства автоматизации и управления,,,,Технические средства автоматизации и управления,,,,Технические средства автоматизации и управления,,,,Технические средства автоматизации и управления,,,,,,Технические средства автоматизации и управления,,,,Технические средства автоматизации и управления,,,,Технология эксплуатации вычислительных комплексов и систем,,,,Технология эксплуатации вычислительных комплексов и систем,,,,,,Технология эксплуатации вычислительных комплексов и систем,,,,Технология эксплуатации вычислительных комплексов и систем,,,,Технология эксплуатации вычислительных комплексов и систем,,,,Технологии и инструментарий анализа больших данных,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Технологии и инструментарий анализа больших данных,,,,,,,,,,,,,,Управление информационно-технологическими услугами ,,,,Управление информационно-технологическими услугами ,,,,Управление информационно-технологическими услугами ,,,,,,Управление информационно-технологическими услугами ,,,,,,,,,,,,,,,,,,Разработка клиент-серверных приложений,,,,Разработка клиент-серверных приложений,,,,Разработка клиент-серверных приложений,,,,Разработка клиент-серверных приложений,,,,,,,,,,Математическое моделирование прикладных задач,,,,Математическое моделирование прикладных задач,,,,Математическое моделирование прикладных задач,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Курнасов Е.В.,,,,Курнасов Е.В.,,,,Курнасов Е.В.,,,,Курнасов Е.В.,,,,,,Курнасов Е.В.,,,,Курнасов Е.В.,,,,Платонова О.В.,,,,Платонова О.В.,,,,,,Платонова О.В.,,,,Платонова О.В.,,,,Платонова О.В.,,,,Трифонова О.А.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Трифонова О.А.,,,,,,,,,,,,,,Панов А.В.,,,,Панов А.В.,,,,Панов А.В.,,,,,,Панов А.В.,,,,,,,,,,,,,,,,,,Куликов А.А.,,,,Куликов А.А.,,,,Куликов А.А.,,,,Куликов А.А.,,,,,,,,,,Даева С.Г.,,,,Даева С.Г.,,,,Даева С.Г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"10
вт",,,,,,,,,,,,,,,,,,"10
вт",Экзамен,11-00,Г-307,,Экзамен,14-00,Г-307,,Экзамен,11-00,Г-110-а,,Экзамен,14-00,Г-110-а,,,"10
вт",,,,,,,,,,,,,,,,,,"10
вт",Зачёт,9-00,Г-427,,,,,,,,,,,,,,,"10
вт",Зачёт,13-00,Г-427,,,,,,,,,,,,,,,"10
вт",,,,,Экзамен,11-00,Г-111-а,,Экзамен,14-00,Г-111-а,,,,,,,"10
вт",,,,,,,,,,,,,,,,,,"10
вт",Экзамен,11-00,Г-227-1,,Экзамен,14-00,Г-227-1,,,,,,,,,,,"10
вт",,,,,Экзамен,9-00,Г-413,,,,,,,,,,,"10
вт",Зачёт,9-00,Г-426,,Зачёт,13-00,Г-426,,,,,,,,,,,"10
вт",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Технические средства автоматизации и управления,,,,Технические средства автоматизации и управления,,,,Технология эксплуатации вычислительных комплексов и систем,,,,Технология эксплуатации вычислительных комплексов и систем,,,,,,,,,,,,,,,,,,,,,,,,Технологии и инструментарий анализа больших данных,,,,,,,,,,,,,,,,,,Технологии и инструментарий анализа больших данных,,,,,,,,,,,,,,,,,,,,,,Управление информационно-технологическими услугами ,,,,Управление информационно-технологическими услугами ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Разработка клиент-серверных приложений,,,,Разработка клиент-серверных приложений,,,,,,,,,,,,,,,,,,Математическое моделирование прикладных задач,,,,,,,,,,,,,,Технологии и инструментарий анализа больших данных,,,,Технологии и инструментарий анализа больших данных,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Курнасов Е.В.,,,,Курнасов Е.В.,,,,Платонова О.В.,,,,Платонова О.В.,,,,,,,,,,,,,,,,,,,,,,,,Трифонова О.А.,,,,,,,,,,,,,,,,,,Трифонова О.А.,,,,,,,,,,,,,,,,,,,,,,Панов А.В.,,,,Панов А.В.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Куликов А.А.,,,,Куликов А.А.,,,,,,,,,,,,,,,,,,Даева С.Г.,,,,,,,,,,,,,,Митин М.П.,,,,Митин М.П.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"11
ср",,,,,,,,,Экзамен,9-00,Г-307,,Экзамен,12-00,Г-307,,,"11
ср",,,,,,,,,,,,,,,,,,"11
ср",Экзамен,9-00,Г-110-а,,Экзамен,12-00,Г-110-а,,,,,,Консультация,,База,,,"11
ср",,,,,,,,,,,,,,,,,,"11
ср",Консультация,9-00,Б-115,,Консультация,9-00,Б-115,,Консультация,9-00,Б-115,,Консультация,9-00,Б-115,,,"11
ср",Консультация,9-00,Б-115,,,,,,,,,,Экзамен,9-00,Г-111-а,,,"11
ср",Экзамен,12-00,Г-111-а,,Зачёт,9-00,Г-427,,Зачёт,13-00,Г-427,,,,,,,"11
ср",,,,,,,,,Экзамен,9-00,Г-227-1,,Экзамен,12-00,Г-227-1,,,"11
ср",,,,,,,,,Экзамен,9-00,Г-413,,Экзамен,12-00,Г-413,,,"11
ср",,,,,,,,,Зачёт,9-00,Г-426,,Зачёт,13-00,Г-426,,,"11
ср",,,,,,,,,,,,,,,,
,,,,,,,,,,Технические средства автоматизации и управления,,,,Технические средства автоматизации и управления,,,,,,,,,,,,,,,,,,,,,,,,Технология эксплуатации вычислительных комплексов и систем,,,,Технология эксплуатации вычислительных комплексов и систем,,,,,,,,Технология разработки программного обеспечения автоматизированных систем обработки информации и управления,,,,,,,,,,,,,,,,,,,,,,,,Платформы разработки мобильных приложений,,,,Платформы разработки мобильных приложений,,,,Платформы разработки мобильных приложений,,,,Платформы разработки мобильных приложений,,,,,,Платформы разработки мобильных приложений,,,,,,,,,,,,Управление информационно-технологическими услугами ,,,,,,Управление информационно-технологическими услугами ,,,,Технологии и инструментарий анализа больших данных,,,,Технологии и инструментарий анализа больших данных,,,,,,,,,,,,,,,,,,Разработка клиент-серверных приложений,,,,Разработка клиент-серверных приложений,,,,,,,,,,,,,,Математическое моделирование прикладных задач,,,,Математическое моделирование прикладных задач,,,,,,,,,,,,,,Технологии и инструментарий анализа больших данных,,,,Технологии и инструментарий анализа больших данных,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Курнасов Е.В.,,,,Курнасов Е.В.,,,,,,,,,,,,,,,,,,,,,,,,Платонова О.В.,,,,Платонова О.В.,,,,,,,,Журавлев А.И.,,,,,,,,,,,,,,,,,,,,,,,,Чернов Е.А.,,,,Чернов Е.А.,,,,Чернов Е.А.,,,,Чернов Е.А.,,,,,,Чернов Е.А.,,,,,,,,,,,,Панов А.В.,,,,,,Панов А.В.,,,,Трифонова О.А.,,,,Трифонова О.А.,,,,,,,,,,,,,,,,,,Куликов А.А.,,,,Куликов А.А.,,,,,,,,,,,,,,Даева С.Г.,,,,Даева С.Г.,,,,,,,,,,,,,,Митин М.П.,,,,Митин М.П.,,,,,,,,,,,,,,,,,,,,,
,"12
чт",Экзамен,9-00,Г-307,,Экзамен,12-00,Г-307,,,,,,,,,,,"12
чт",,,,,,,,,,,,,,,,,,"12
чт",,,,,,,,,Экзамен,9-00,Г-110-а,,Экзамен,,База,,,"12
чт",Консультация,13-00,А-3,,Консультация,13-00,А-3,,Консультация,13-00,А-3,,Консультация,13-00,А-3,,,"12
чт",,,,,Экзамен,9-00,Г-301-б,,,,,,,,,,,"12
чт",Экзамен,12-00,Г-301-б,,Зачёт,9-00,Г-427,,,,,,,,,,,"12
чт",,,,,Консультация,9-00,А-4,,Консультация,9-00,А-4,,Консультация,9-00,А-4,,,"12
чт",,,,,,,,,,,,,,,,,,"12
чт",Консультация,9-00,А-4,,Консультация,9-00,Г-413,,,,,,,,,,,"12
чт",Консультация,9-00,А-12,,Консультация,9-00,А-12,,Консультация,9-00,А-12,,Консультация,9-00,А-12,,,"12
чт",Консультация,9-00,А-12,,,,,,,,,,,,,
,,Технические средства автоматизации и управления,,,,Технические средства автоматизации и управления,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Технология эксплуатации вычислительных комплексов и систем,,,,Технология разработки программного обеспечения автоматизированных систем обработки информации и управления,,,,,,Проектирование интеллектуальных систем,,,,Проектирование интеллектуальных систем,,,,Проектирование интеллектуальных систем,,,,Проектирование интеллектуальных систем,,,,,,,,,,Платформы разработки мобильных приложений,,,,,,,,,,,,,,Платформы разработки мобильных приложений,,,,Технологии и инструментарий анализа больших данных,,,,,,,,,,,,,,,,,,Разработка клиент-серверных приложений,,,,Разработка клиент-серверных приложений,,,,Разработка клиент-серверных приложений,,,,,,,,,,,,,,,,,,,,,,,,Разработка клиент-серверных приложений,,,,Уравнения математической физики,,,,,,,,,,,,,,Информационно-технологическая инфраструктура,,,,Информационно-технологическая инфраструктура,,,,Информационно-технологическая инфраструктура,,,,Информационно-технологическая инфраструктура,,,,,,Информационно-технологическая инфраструктура,,,,,,,,,,,,,,,
,,Курнасов Е.В.,,,,Курнасов Е.В.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Платонова О.В.,,,,Журавлев А.И.,,,,,,Сорокин А.Б.,,,,Сорокин А.Б.,,,,Сорокин А.Б.,,,,Сорокин А.Б.,,,,,,,,,,Чернов Е.А.,,,,,,,,,,,,,,Чернов Е.А.,,,,Трифонова О.А.,,,,,,,,,,,,,,,,,,Куликов А.А.,,,,Куликов А.А.,,,,Куликов А.А.,,,,,,,,,,,,,,,,,,,,,,,,Куликов А.А.,,,,Лаговский Б.А.,,,,,,,,,,,,,,Зуев А.С.,,,,Зуев А.С.,,,,Зуев А.С.,,,,Зуев А.С.,,,,,,Зуев А.С.,,,,,,,,,,,,,,,
,"13
пт",Консультация,9-00,А-177,,Консультация,9-00,А-177,,Консультация,15-00,Б-115,,Консультация,15-00,Б-115,,,"13
пт",Консультация,15-00,Б-115,,Консультация,15-00,Б-115,,Консультация,9-00,А-18,,Консультация,9-00,А-18,,,"13
пт",Консультация,9-00,А-18,,Консультация,9-00,А-18,,Консультация,9-00,А-18,,,,,,,"13
пт",,,,,,,,,Экзамен,11-00,Г-111-б,,Экзамен,14-00,Г-111-б,,,"13
пт",Экзамен,9-00,Г-301-б,,,,,,Экзамен,12-00,Г-301-б,,,,,,,"13
пт",,,,,Консультация,13-00,А-18,,Консультация,13-00,А-18,,Консультация,13-00,А-18,,,"13
пт",Консультация,13-00,А-18,,,,,,,,,,Экзамен,9-00,Г-227-1,,,"13
пт",Консультация,11-00,А-4,,Консультация,11-00,А-4,,Консультация,11-00,А-4,,Консультация,11-00,А-4,,,"13
пт",Экзамен,12-00,Г-227-1,,Экзамен,9-00,Г-413,,Зачёт,9-00,Г-426,,Зачёт,13-00,Г-426,,,"13
пт",Экзамен,9-00,Г-304,,Экзамен,12-00,Г-304,,,,,,,,,,,"13
пт",,,,,,,,,,,,,,,,
,,Надежность и диагностика автоматизированных систем,,,,Надежность и диагностика автоматизированных систем,,,,Разработка информационно-управляющих систем ,,,,Разработка информационно-управляющих систем ,,,,,,Разработка информационно-управляющих систем ,,,,Разработка информационно-управляющих систем ,,,,Разработка и программирование микропроцессорных систем,,,,Разработка и программирование микропроцессорных систем,,,,,,Разработка и программирование микропроцессорных систем,,,,Разработка и программирование микропроцессорных систем,,,,Разработка и программирование микропроцессорных систем,,,,,,,,,,,,,,,,,,Проектирование интеллектуальных систем,,,,Проектирование интеллектуальных систем,,,,,,Платформы разработки мобильных приложений,,,,,,,,Платформы разработки мобильных приложений,,,,,,,,,,,,,,Информационное обеспечение предприятия,,,,Информационное обеспечение предприятия,,,,Информационное обеспечение предприятия,,,,,,Информационное обеспечение предприятия,,,,,,,,,,,,Разработка клиент-серверных приложений,,,,,,Технологии виртуализации клиент-серверных приложений,,,,Технологии виртуализации клиент-серверных приложений,,,,Технологии виртуализации клиент-серверных приложений,,,,Технологии виртуализации клиент-серверных приложений,,,,,,Разработка клиент-серверных приложений,,,,Уравнения математической физики,,,,Технологии и инструментарий анализа больших данных,,,,Технологии и инструментарий анализа больших данных,,,,,,Информационно-технологическая инфраструктура,,,,Информационно-технологическая инфраструктура,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Берберова М.А.,,,,Берберова М.А.,,,,Томашевская В.С.,,,,Томашевская В.С.,,,,,,Томашевская В.С.,,,,Томашевская В.С.,,,,Бражникова Е.В.,,,,Бражникова Е.В.,,,,,,Бражникова Е.В.,,,,Бражникова Е.В.,,,,Бражникова Е.В.,,,,,,,,,,,,,,,,,,Сорокин А.Б.,,,,Сорокин А.Б.,,,,,,Чернов Е.А.,,,,,,,,Чернов Е.А.,,,,,,,,,,,,,,Крюков Д.А.,,,,Крюков Д.А.,,,,Крюков Д.А.,,,,,,Крюков Д.А.,,,,,,,,,,,,Куликов А.А.,,,,,,Волков М.Ю.,,,,Волков М.Ю.,,,,Волков М.Ю.,,,,Волков М.Ю.,,,,,,Куликов А.А.,,,,Лаговский Б.А.,,,,Митин М.П.,,,,Митин М.П.,,,,,,Зуев А.С.,,,,Зуев А.С.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"14
сб",,,,,,,,,,,,,,,,,,"14
сб",,,,,,,,,Экзамен,9-00,Г-112,,Экзамен,12-00,Г-112,,,"14
сб",,,,,,,,,,,,,,,,,,"14
сб",Экзамен,9-00,Г-111-б,,Экзамен,12-00,Г-111-б,,,,,,,,,,,"14
сб",,,,,,,,,,,,,Экзамен,9-00,Г-301-б,,,"14
сб",,,,,,,,,,,,,Экзамен,11-00,Г-111-а,,,"14
сб",Экзамен,14-00,Г-111-а,,Экзамен,9-00,Г-227-1,,Экзамен,12-00,Г-227-1,,,,,,,"14
сб",,,,,,,,,Экзамен,11-00,Г-227-2,,Экзамен,14-00,Г-227-2,,,"14
сб",,,,,,,,,,,,,,,,,,"14
сб",,,,,,,,,Экзамен,9-00,Г-304,,Экзамен,12-00,Г-304,,,"14
сб",,,,,,,,,,,,,,,,
