месяц,число,ИАБО-01-19,время,№                      ауд,Ссылка,ИАБО-02-19,время,№                      ауд,Ссылка,ИВБО-07-19,время,№                      ауд,Ссылка,ИВБО-09-19,время,№                      ауд,Ссылка,месяц,число,ИВБО-10-19,время,№                      ауд,Ссылка,ИВБО-11-19,время,№                      ауд,Ссылка,ИВБО-01-19,время,№                      ауд,Ссылка,ИВБО-04-19,время,№                      ауд,Ссылка,месяц,число,ИВБО-05-19,время,№                      ауд,Ссылка,ИВБО-06-19,время,№                      ауд,Ссылка,ИВБО-02-19,время,№                      ауд,Ссылка,ИВБО-03-19,время,№                      ауд,Ссылка,месяц,число,ИКБО-04-19,время,№                      ауд,Ссылка,ИКБО-05-19,время,№                      ауд,Ссылка,ИКБО-14-19,время,№                      ауд,Ссылка,ИКБО-15-19,время,№                      ауд,Ссылка,месяц,число,ИКБО-06-19,время,№                      ауд,Ссылка,ИКБО-07-19,время,№                      ауд,Ссылка,ИКБО-11-19,время,№                      ауд,Ссылка,ИКБО-12-19,время,№                      ауд,Ссылка,месяц,число,ИКБО-25-19,время,№                      ауд,Ссылка,ИКБО-08-19,время,№                      ауд,Ссылка,ИКБО-09-19,время,№                      ауд,Ссылка,ИКБО-17-19,время,№                      ауд,Ссылка,месяц,число,ИКБО-18-19,время,№                      ауд,Ссылка,ИКБО-01-19,время,№                      ауд,Ссылка,ИКБО-03-19,время,№                      ауд,Ссылка,ИКБО-10-19,время,№                      ауд,Ссылка,месяц,число,ИКБО-13-19,время,№                      ауд,Ссылка,ИКБО-16-19,время,№                      ауд,Ссылка,ИКБО-20-19,время,№                      ауд,Ссылка,ИКБО-24-19,время,№                      ауд,Ссылка,месяц,число,ИКБО-02-19,время,№                      ауд,Ссылка,ИМБО-01-19,время,№                      ауд,Ссылка,ИНБО-05-19,время,№                      ауд,Ссылка,ИНБО-06-19,время,№                      ауд,Ссылка,месяц,число,ИНБО-01-19,время,№                      ауд,Ссылка,ИНБО-04-19,время,№                      ауд,Ссылка,ИНБО-07-19,время,№                      ауд,Ссылка,ИНБО-10-19,время,№                      ауд,Ссылка,месяц,число,ИНБО-02-19,время,№                      ауд,Ссылка,,время,№                      ауд,Ссылка,,время,№                      ауд,Ссылка,,время,№                      ауд,Ссылка
,22,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,
,"23
пн",Консультация,11-00,А-177-1,,Консультация,11-00,А-177-1,,,,,,,,,,,"23
пн",,,,,,,,,Экзамен,9-00,Г-110-а,,Экзамен,12-00,Г-110-а,,,"23
пн",,,,,,,,,Консультация,11-00,А-177,,Консультация,11-00,А-177,,,"23
пн",,,,,,,,,,,,,,,,,,"23
пн",Экзамен,9-00,Г-301-б,,Экзамен,12-00,Г-301-б,,,,,,,,,,,"23
пн",,,,,Экзамен,9-00,Г-111-а,,Экзамен,12-00,Г-111-а,,,,,,,"23
пн",,,,,Экзамен,9-00,Г-226-1,,Экзамен,12-00,Г-226-1,,,,,,,"23
пн",Консультация,11-00,А-5,,Консультация,11-00,А-5,,Консультация,11-00,А-5,,Консультация,11-00,А-5,,,"23
пн",Консультация,10-00,База,,Экзамен,9-00,Г-427,,,,,,,,,,,"23
пн",,,,,,,,,,,,,,,,,,"23
пн",,,,,,,,,,,,,,,,
,,Автоматизация технологических процессов и производств,,,,Автоматизация технологических процессов и производств,,,,,,,,,,,,,,,,,,,,,,Программирование нейропроцессоров,,,,Программирование нейропроцессоров,,,,,,,,,,,,,,Проектирование вычислительных комплексов,,,,Проектирование вычислительных комплексов,,,,,,,,,,,,,,,,,,,,,,,,Оценка параметров функционирования программных систем,,,,Оценка параметров функционирования программных систем,,,,,,,,,,,,,,,,,,Разработка кроссплатформенных программных систем,,,,Разработка кроссплатформенных программных систем,,,,,,,,,,,,,,Имитационное моделирование клиент-серверных приложений,,,,Имитационное моделирование клиент-серверных приложений,,,,,,,,,,Проектирование клиент-серверных систем,,,,Проектирование клиент-серверных систем,,,,Проектирование клиент-серверных систем,,,,Проектирование клиент-серверных систем,,,,,,Имитационное моделирование информационных систем,,,,Модели и методы предиктивной аналитики,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Руднева Л.Ю.,,,,Руднева Л.Ю.,,,,,,,,,,,,,,,,,,,,,,Тарасов И.Е.,,,,Тарасов И.Е.,,,,,,,,,,,,,,Коваленко С.М.,,,,Коваленко С.М.,,,,,,,,,,,,,,,,,,,,,,,,Миронов А.Н.,,,,Миронов А.Н.,,,,,,,,,,,,,,,,,,Советов П.Н.,,,,Советов П.Н.,,,,,,,,,,,,,,Акопов А.С.,,,,Акопов А.С.,,,,,,,,,,Лобанов А.А.,,,,Лобанов А.А.,,,,Лобанов А.А.,,,,Лобанов А.А.,,,,,,Сухов И.В.,,,,Кузьмин В.И.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"24
вт",,,,,,,,,,,,,,,,,,"24
вт",,,,,,,,,,,,,,,,,,"24
вт",Экзамен,9-00,Г-110-а,,Экзамен,12-00,Г-110-а,,Экзамен,11-00,Г-111б,,Экзамен,14-00,Г-111б,,,"24
вт",,,,,,,,,,,,,,,,,,"24
вт",,,,,,,,,Экзамен,9-00,Г-301-б,,Экзамен,12-00,Г-301-б,,,"24
вт",,,,,,,,,,,,,Экзамен,9-00,Г-111-а,,,"24
вт",Экзамен,12-00,Г-111-а,,,,,,,,,,Экзамен,9-00,Г-226-1,,,"24
вт",,,,,,,,,Экзамен,11-00,Г-227-2,,Экзамен,14-00,Г-227-2,,,"24
вт",Экзамен,10-00,База,,Консультация,9-00,А-4,,Консультация,9-00,А-4,,Консультация,9-00,А-4,,,"24
вт",Консультация,9-00,А-16,,Консультация,9-00,А-16,,Консультация,9-00,А-16,,Консультация,9-00,А-16,,,"24
вт",Консультация,9-00,А-16,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Программирование нейропроцессоров,,,,Программирование нейропроцессоров,,,,Проектирование вычислительных комплексов,,,,Проектирование вычислительных комплексов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Оценка параметров функционирования программных систем,,,,Оценка параметров функционирования программных систем,,,,,,,,,,,,,,,,,,Разработка кроссплатформенных программных систем,,,,,,Разработка кроссплатформенных программных систем,,,,,,,,,,,,Имитационное моделирование клиент-серверных приложений,,,,,,,,,,,,,,Проектирование клиент-серверных систем,,,,Проектирование клиент-серверных систем,,,,,,Имитационное моделирование информационных систем,,,,Прогнозно-аналитические системы,,,,Прогнозно-аналитические системы,,,,Прогнозно-аналитические системы,,,,,,Проектирование предметно-ориентированных информационных систем,,,,Проектирование предметно-ориентированных информационных систем,,,,Проектирование предметно-ориентированных информационных систем,,,,Проектирование предметно-ориентированных информационных систем,,,,,,Проектирование предметно-ориентированных информационных систем,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Тарасов И.Е.,,,,Тарасов И.Е.,,,,Расулов М.М.,,,,Расулов М.М.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Миронов А.Н.,,,,Миронов А.Н.,,,,,,,,,,,,,,,,,,Советов П.Н.,,,,,,Советов П.Н.,,,,,,,,,,,,Акопов А.С.,,,,,,,,,,,,,,Лобанов А.А.,,,,Лобанов А.А.,,,,,,Сухов И.В.,,,,Скляр А.Я.,,,,Скляр А.Я.,,,,Скляр А.Я.,,,,,,Смоленцева Т.Е.,,,,Смоленцева Т.Е.,,,,Смоленцева Т.Е.,,,,Смоленцева Т.Е.,,,,,,Смоленцева Т.Е.,,,,,,,,,,,,,,,
,"25
ср",Экзамен,9-00,А-218,,Экзамен,12-00,А-218,,Консультация,13-00,Б-115,,Консультация,13-00,Б-115,,,"25
ср",Консультация,13-00,Б-115,,Консультация,13-00,Б-115,,,,,,,,,,,"25
ср",,,,,,,,,,,,,,,,,,"25
ср",,,,,,,,,,,,,,,,,,"25
ср",,,,,,,,,,,,,,,,,,"25
ср",Экзамен,9-00,Г-301-б,,Консультация,11-00,Б-115,,Консультация,11-00,Б-115,,Консультация,11-00,Б-115,,,"25
ср",Консультация,11-00,Б-115,,,,,,,,,,,,,,,"25
ср",Экзамен,9-00,Г-227-2,,Экзамен,12-00,Г-227-2,,,,,,,,,,,"25
ср",,,,,,,,,Экзамен,9-00,Г-413,,Экзамен,12-00,Г-413,,,"25
ср",Экзамен,9-00,Г-310,,Экзамен,12-00,Г-310,,,,,,,,,,,"25
ср",,,,,,,,,,,,,,,,
,,Автоматизация технологических процессов и производств,,,,Автоматизация технологических процессов и производств,,,,Проектирование информационно-управляющих систем,,,,Проектирование информационно-управляющих систем,,,,,,Проектирование информационно-управляющих систем,,,,Проектирование информационно-управляющих систем,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Оценка параметров функционирования программных систем,,,,Проектирование систем управления ресурсами предприятий,,,,Проектирование систем управления ресурсами предприятий,,,,Проектирование систем управления ресурсами предприятий,,,,,,Проектирование систем управления ресурсами предприятий,,,,,,,,,,,,,,,,,,Проектирование клиент-серверных систем,,,,Проектирование клиент-серверных систем,,,,,,,,,,,,,,,,,,,,,,Прогнозно-аналитические системы,,,,Прогнозно-аналитические системы,,,,,,Проектирование предметно-ориентированных информационных систем,,,,Проектирование предметно-ориентированных информационных систем,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Руднева Л.Ю.,,,,Руднева Л.Ю.,,,,Володина А.М.,,,,Володина А.М.,,,,,,Володина А.М.,,,,Володина А.М.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Миронов А.Н.,,,,Тарасов И.Е.,,,,Тарасов И.Е.,,,,Тарасов И.Е.,,,,,,Тарасов И.Е.,,,,,,,,,,,,,,,,,,Лобанов А.А.,,,,Лобанов А.А.,,,,,,,,,,,,,,,,,,,,,,Скляр А.Я.,,,,Скляр А.Я.,,,,,,Смоленцева Т.Е.,,,,Смоленцева Т.Е.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"26
чт",,,,,,,,,,,,,,,,,,"26
чт",,,,,,,,,Консультация,9-00,Б-115,,Консультация,9-00,Б-115,,,"26
чт",Консультация,9-00,Б-115,,Консультация,9-00,Б-115,,Консультация,,База,,Консультация,,База,,,"26
чт",,,,,,,,,,,,,,,,,,"26
чт",Консультация,11-00,Б-115,,Консультация,11-00,Б-115,,Консультация,11-00,Б-115,,Консультация,11-00,Б-115,,,"26
чт",Консультация,11-00,Б-115,,Экзамен,11-00,Г-110-а,,Экзамен,14-00,Г-110-а,,,,,,,"26
чт",,,,,Консультация,9-00,А-4,,Консультация,9-00,А-4,,Консультация,9-00,А-4,,,"26
чт",,,,,,,,,,,,,,,,,,"26
чт",Консультация,10-00,База,,Экзамен,9-00,Г-413,,,,,,,,,,,"26
чт",,,,,,,,,Экзамен,9-00,Г-310,,Экзамен,12-00,Г-310,,,"26
чт",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Проектирование вычислительных комплексов,,,,Проектирование вычислительных комплексов,,,,,,Проектирование вычислительных комплексов,,,,Проектирование вычислительных комплексов,,,,Тепломассообмен в электронно-вычислительной технике ,,,,Инструментальные средства для автоматизированных систем обработки информации и управления,,,,,,,,,,,,,,,,,,,,,,,,Проектирование программных систем,,,,Проектирование программных систем,,,,Проектирование программных систем,,,,Проектирование программных систем,,,,,,Проектирование программных систем,,,,Проектирование систем управления ресурсами предприятий,,,,Проектирование систем управления ресурсами предприятий,,,,,,,,,,,,,,Проектирование клиент-серверных систем,,,,Проектирование клиент-серверных систем,,,,Проектирование клиент-серверных систем,,,,,,,,,,,,,,,,,,,,,,,,Проектирование клиент-серверных приложений,,,,Прогнозно-аналитические системы,,,,,,,,,,,,,,,,,,,,,,Проектирование предметно-ориентированных информационных систем,,,,Проектирование предметно-ориентированных информационных систем,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Коваленко С.М.,,,,Коваленко С.М.,,,,,,Коваленко С.М.,,,,Коваленко С.М.,,,,Сухов В.В.,,,,Лунев А.В.,,,,,,,,,,,,,,,,,,,,,,,,Туманова М.Б.,,,,Туманова М.Б.,,,,Туманова М.Б.,,,,Туманова М.Б.,,,,,,Туманова М.Б.,,,,Тарасов И.Е.,,,,Тарасов И.Е.,,,,,,,,,,,,,,Лобанов А.А.,,,,Лобанов А.А.,,,,Лобанов А.А.,,,,,,,,,,,,,,,,,,,,,,,,Сухов И.В.,,,,Скляр А.Я.,,,,,,,,,,,,,,,,,,,,,,Смоленцева Т.Е.,,,,Смоленцева Т.Е.,,,,,,,,,,,,,,,,,,,,,
,"27
пт",Консультация,11-00,А-177-1,,Консультация,11-00,А-177-1,,Экзамен,9-00,В-108-1-а,,Экзамен,12-00,В-108-1-а,,,"27
пт",,,,,,,,,Экзамен,9-00,Г-111-б,,Экзамен,12--00,Г-111-б,,,"27
пт",,,,,,,,,Экзамен,,База,,Экзамен,,База,,,"27
пт",,,,,,,,,,,,,,,,,,"27
пт",Экзамен,11-00,Г-301-б,,Экзамен,14-00,Г-301-б,,,,,,,,,,,"27
пт",,,,,,,,,,,,,Экзамен,9-00,Г-110-а,,,"27
пт",Экзамен,12-00,Г-110-а,,Экзамен,9-00,Г-227-2,,Экзамен,12-00,Г-227-2,,,,,,,"27
пт",,,,,,,,,,,,,,,,,,"27
пт",Экзамен,10-00,База,,,,,,Консультация,9-00,А-182,,Консультация,9-00,А-182,,,"27
пт",,,,,,,,,,,,,,,,,,"27
пт",Экзамен,9-00,Г-310,,,,,,,,,,,,,
,,Проектирование и разработка автоматизированных систем реального времени ,,,,Проектирование и разработка автоматизированных систем реального времени ,,,,Проектирование информационно-управляющих систем,,,,Проектирование информационно-управляющих систем,,,,,,,,,,,,,,Проектирование вычислительных комплексов,,,,Проектирование вычислительных комплексов,,,,,,,,,,,,,,Тепломассообмен в электронно-вычислительной технике ,,,,Инструментальные средства для автоматизированных систем обработки информации и управления,,,,,,,,,,,,,,,,,,,,,,,,Проектирование программных систем,,,,Проектирование программных систем,,,,,,,,,,,,,,,,,,,,,,,,,,Проектирование систем управления ресурсами предприятий,,,,,,Проектирование систем управления ресурсами предприятий,,,,Проектирование клиент-серверных систем,,,,Проектирование клиент-серверных систем,,,,,,,,,,,,,,,,,,,,,,,,,,,,Проектирование клиент-серверных приложений,,,,,,,,Проектирование систем управления данными,,,,Проектирование систем управления данными,,,,,,,,,,,,,,,,,,,,,,,,Проектирование предметно-ориентированных информационных систем,,,,,,,,,,,,,,,
,,Макаров В.А.,,,,Макаров В.А.,,,,Володина А.М.,,,,Володина А.М.,,,,,,,,,,,,,,Расулов М.М.,,,,Расулов М.М.,,,,,,,,,,,,,,Сухов В.В.,,,,Лунев А.В.,,,,,,,,,,,,,,,,,,,,,,,,Туманова М.Б.,,,,Туманова М.Б.,,,,,,,,,,,,,,,,,,,,,,,,,,Тарасов И.Е.,,,,,,Тарасов И.Е.,,,,Лобанов А.А.,,,,Лобанов А.А.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Сухов И.В.,,,,,,,,Скляр А.Я.,,,,Скляр А.Я.,,,,,,,,,,,,,,,,,,,,,,,,Смоленцева Т.Е.,,,,,,,,,,,,,,,
,"28
сб",,,,,,,,,,,,,,,,,,"28
сб",Экзамен,9-00,В-108-1-а,,Экзамен,12-00,В-108-1-а,,,,,,,,,,,"28
сб",Экзамен,9-00,Г-111-б,,Экзамен,12-00,Г-111-б,,,,,,,,,,,"28
сб",,,,,,,,,,,,,,,,,,"28
сб",,,,,,,,,Экзамен,9-00,Г-301-б,,Экзамен,12-00,Г-301-б,,,"28
сб",,,,,,,,,,,,,,,,,,"28
сб",,,,,,,,,,,,,Экзамен,9-00,Г-227-2,,,"28
сб",,,,,,,,,,,,,,,,,,"28
сб",,,,,,,,,Экзамен,9-00,Г-413,,Экзамен,12-00,Г-413,,,"28
сб",,,,,,,,,,,,,,,,,,"28
сб",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Проектирование информационно-управляющих систем,,,,Проектирование информационно-управляющих систем,,,,,,,,,,,,,,Проектирование вычислительных комплексов,,,,Проектирование вычислительных комплексов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Проектирование программных систем,,,,Проектирование программных систем,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Проектирование клиент-серверных систем,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Проектирование систем управления данными,,,,Проектирование систем управления данными,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Володина А.М.,,,,Володина А.М.,,,,,,,,,,,,,,Расулов М.М.,,,,Расулов М.М.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Туманова М.Б.,,,,Туманова М.Б.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Лобанов А.А.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Скляр А.Я.,,,,Скляр А.Я.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,
,"30
пн",Экзамен,9-00,Г-307,,Экзамен,12-00,Г-307,,,,,,,,,,,"30
пн",,,,,,,,,,,,,,,,,,"30
пн",,,,,,,,,,,,,,,,,,"30
пн",,,,,,,,,,,,,,,,,,"30
пн",,,,,,,,,,,,,,,,,,"30
пн",Экзамен,9-00,Г-301-б,,,,,,,,,,,,,,,"30
пн",,,,,,,,,,,,,,,,,,"30
пн",,,,,,,,,,,,,,,,,,"30
пн",,,,,,,,,,,,,,,,,,"30
пн",,,,,,,,,,,,,,,,,,"30
пн",,,,,,,,,,,,,,,,
,,Проектирование и разработка автоматизированных систем реального времени ,,,,Проектирование и разработка автоматизированных систем реального времени ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Проектирование программных систем,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Макаров В.А.,,,,Макаров В.А.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Туманова М.Б.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"31
вт",,,,,,,,,,,,,,,,,,"31
вт",,,,,,,,,,,,,,,,,,"31
вт",,,,,,,,,,,,,,,,,,"31
вт",,,,,,,,,,,,,,,,,,"31
вт",,,,,,,,,,,,,,,,,,"31
вт",,,,,,,,,,,,,,,,,,"31
вт",,,,,,,,,,,,,,,,,,"31
вт",,,,,,,,,,,,,,,,,,"31
вт",,,,,,,,,,,,,,,,,,"31
вт",,,,,,,,,,,,,,,,,,"31
вт",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
февраль,"01
ср",Прием академических задолженностей,,,,,,,,,,,,,,,,февраль,"01
ср",Прием академических задолженностей,,,,,,,,,,,,,,,,февраль,"01
ср",Прием академических задолженностей,,,,,,,,,,,,,,,,февраль,"01
ср",Прием академических задолженностей,,,,,,,,,,,,,,,,февраль,"01
ср",Прием академических задолженностей,,,,,,,,,,,,,,,,февраль,"01
ср",Прием академических задолженностей,,,,,,,,,,,,,,,,февраль,"01
ср",Прием академических задолженностей,,,,,,,,,,,,,,,,февраль,"01
ср",Прием академических задолженностей,,,,,,,,,,,,,,,,февраль,"01
ср",Прием академических задолженностей,,,,,,,,,,,,,,,,февраль,"01
ср",Прием академических задолженностей,,,,,,,,,,,,,,,,февраль,"01
ср",Прием академических задолженностей,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Начальник  УМУ,,,,,О.Г. Савка,,,,,,,,,,,,,Начальник  УМУ,,,,,О.Г. Савка,,,,,,,,,,,,,Начальник  УМУ,,,,,О.Г. Савка,,,,,,,,,,,,,Начальник  УМУ,,,,,О.Г. Савка,,,,,,,,,,,,,Начальник  УМУ,,,,,О.Г. Савка,,,,,,,,,,,,,Начальник  УМУ,,,,,О.Г. Савка,,,,,,,,,,,,,Начальник  УМУ,,,,,О.Г. Савка,,,,,,,,,,,,,Начальник  УМУ,,,,,О.Г. Савка,,,,,,,,,,,,,Начальник  УМУ,,,,,О.Г. Савка,,,,,,,,,,,,,Начальник  УМУ,,,,,О.Г. Савка,,,,,,,,,,,,,Начальник  УМУ,,,,,О.Г. Савка,,,,,,,,,,,
