День недели,Группа,Unnamed: 2,Unnamed: 3,Unnamed: 4,ИВМО-01-21,ВТ,09.04.01,18,Unnamed: 9,ИВМО-02-21,232,09.04.01.1,10,Unnamed: 14,День недели.1,Группа.1,Unnamed: 17,Unnamed: 18,Unnamed: 19,ИВМО-03-21,238,09.04.01.2,7,Unnamed: 24,ИВМО-04-21,250,09.04.01.3,10.1,Unnamed: 29,День недели.2,Группа.2,Unnamed: 32,Unnamed: 33,Unnamed: 34,ИВМО-05-21,244,09.04.01.4,11,Unnamed: 39,ИКМО-01-21,ИППО,09.04.04,32,Unnamed: 44,День недели.3,Группа.3,Unnamed: 47,Unnamed: 48,Unnamed: 49,ИКМО-02-21,231,09.04.04.1,14,Unnamed: 54,ИКМО-03-21,КИС,09.04.04.2,27,Unnamed: 59,День недели.4,Группа.4,Unnamed: 62,Unnamed: 63,Unnamed: 64,ИКМО-04-21,МОСИТ,09.04.04.3,30,Unnamed: 69,ИКМО-05-21,234,09.04.04.4,10.2,Unnamed: 74,День недели.5,Группа.5,Unnamed: 77,Unnamed: 78,Unnamed: 79,ИНМО-01-21,ППИ,09.04.03,26,Unnamed: 84,ИНМО-02-21,239,09.04.03.1,15,Unnamed: 89,День недели.6,Группа.6,Unnamed: 92,Unnamed: 93,Unnamed: 94,ИММО-01-21,ПМ,01.04.04,4,Unnamed: 99,ИММО-02-21,257,01.04.04.1,5,Unnamed: 104
ЧЕТВЕРГ,1,9-00,10-30,I,,,,,,,,,,,ЧЕТВЕРГ,1,9-00,10-30,I,,,,,,,,,,,ЧЕТВЕРГ,1,9-00,10-30,I,,,,,,,,,,,ЧЕТВЕРГ,1,9-00,10-30,I,,,,,,,,,,,ЧЕТВЕРГ,1,9-00,10-30,I,,,,,,,,,,,ЧЕТВЕРГ,1,9-00,10-30,I,,,,,,,,,,,ЧЕТВЕРГ,1,9-00,10-30,I,,,,,,,,,,
ЧЕТВЕРГ,1,9-00,10-30,II,,,,,,,,,,,ЧЕТВЕРГ,1,9-00,10-30,II,,,,,,,,,,,ЧЕТВЕРГ,1,9-00,10-30,II,,,,,,,,,,,ЧЕТВЕРГ,1,9-00,10-30,II,,,,,,,,,,,ЧЕТВЕРГ,1,9-00,10-30,II,,,,,,,,,,,ЧЕТВЕРГ,1,9-00,10-30,II,,,,,,,,,,,ЧЕТВЕРГ,1,9-00,10-30,II,,,,,,,,,,
ЧЕТВЕРГ,2,10-40,12-10,I,,,,,,,,,,,ЧЕТВЕРГ,2,10-40,12-10,I,,,,,,,,,,,ЧЕТВЕРГ,2,10-40,12-10,I,,,,,,,,,,,ЧЕТВЕРГ,2,10-40,12-10,I,,,,,,,,,,,ЧЕТВЕРГ,2,10-40,12-10,I,,,,,,,,,,,ЧЕТВЕРГ,2,10-40,12-10,I,,,,,,,,,,,ЧЕТВЕРГ,2,10-40,12-10,I,,,,,,,,,,
ЧЕТВЕРГ,2,10-40,12-10,II,,,,,,,,,,,ЧЕТВЕРГ,2,10-40,12-10,II,,,,,,,,,,,ЧЕТВЕРГ,2,10-40,12-10,II,,,,,,,,,,,ЧЕТВЕРГ,2,10-40,12-10,II,,,,,,,,,,,ЧЕТВЕРГ,2,10-40,12-10,II,,,,,,,,,,,ЧЕТВЕРГ,2,10-40,12-10,II,,,,,,,,,,,ЧЕТВЕРГ,2,10-40,12-10,II,,,,,,,,,,
ЧЕТВЕРГ,3,12-40,14-10,I,,,,,,,,,,,ЧЕТВЕРГ,3,12-40,14-10,I,,,,,,,,,,,ЧЕТВЕРГ,3,12-40,14-10,I,,,,,,,,,,,ЧЕТВЕРГ,3,12-40,14-10,I,,,,,,,,,,,ЧЕТВЕРГ,3,12-40,14-10,I,,,,,,"5 н. Техническое обеспечение систем управления технологическими процессами
7 н.  Проектирование систем управления и поддержки принятия решений
9,11 н.  Проектирование систем управления и поддержки принятия решений","лк
пр
пр","Глухов А.В.
Прилипко В.А.
Прилипко В.А.",База,,ЧЕТВЕРГ,3,12-40,14-10,I,,,,,,,,,,,ЧЕТВЕРГ,3,12-40,14-10,I,,,,,,,,,,
ЧЕТВЕРГ,3,12-40,14-10,II,,,,,,,,,,,ЧЕТВЕРГ,3,12-40,14-10,II,,,,,,,,,,,ЧЕТВЕРГ,3,12-40,14-10,II,,,,,,,,,,,ЧЕТВЕРГ,3,12-40,14-10,II,,,,,,,,,,,ЧЕТВЕРГ,3,12-40,14-10,II,,,,,,,,,,,ЧЕТВЕРГ,3,12-40,14-10,II,,,,,,,,,,,ЧЕТВЕРГ,3,12-40,14-10,II,,,,,,,,,,
ЧЕТВЕРГ,4,14-20,15-50,I,,,,,,,,,,,ЧЕТВЕРГ,4,14-20,15-50,I,,,,,,,,,,,ЧЕТВЕРГ,4,14-20,15-50,I,,,,,,7 н. Проектирование и разработка  программных интерфейсов,пр,Алпатов А.Н.,А-421-2,,ЧЕТВЕРГ,4,14-20,15-50,I,,,,,,,,,,,ЧЕТВЕРГ,4,14-20,15-50,I,,,,,,3-15 н. Техническое обеспечение систем управления технологическими процессами,пр,Глухов А.В.,База,,ЧЕТВЕРГ,4,14-20,15-50,I,,,,,,,,,,,ЧЕТВЕРГ,4,14-20,15-50,I,,,,,,,,,,
ЧЕТВЕРГ,4,14-20,15-50,II,,,,,,,,,,,ЧЕТВЕРГ,4,14-20,15-50,II,,,,,,,,,,,ЧЕТВЕРГ,4,14-20,15-50,II,,,,,,,,,,,ЧЕТВЕРГ,4,14-20,15-50,II,,,,,,,,,,,ЧЕТВЕРГ,4,14-20,15-50,II,,,,,,,,,,,ЧЕТВЕРГ,4,14-20,15-50,II,,,,,,,,,,,ЧЕТВЕРГ,4,14-20,15-50,II,,,,,,,,,,
ЧЕТВЕРГ,5,16-20,17-50,I,3-17 н. Проектирование и разработка цифровых устройств на базе программируемых логических интегральных схем,лк,Смирнов Н.А.,А-219,,3-17 н. Проектирование и разработка цифровых устройств на базе программируемых логических интегральных схем,лк,Смирнов Н.А.,А-219,,ЧЕТВЕРГ,5,16-20,17-50,I,"3,5,7,9 н. Проектирование и разработка архитектуры высокопроизводительных вычислительных систем",лк,,База,,3-15 н. Проектирование систем на кристалле,пр,Мусихин А.Г.,Г-110-б,,ЧЕТВЕРГ,5,16-20,17-50,I,,,,,,7-15 н. Проектирование и разработка  программных интерфейсов,пр,Алпатов А.Н.,А-421-2,,ЧЕТВЕРГ,5,16-20,17-50,I,3-15 н. Системы распознавания и обработки данных ,лк,Силаев Ю.В.,База,,3-15 н. Хранилища данных систем управления ресурсами и взаимоотношениями предприятия,лк,Назаров А..Н.,А-222,,ЧЕТВЕРГ,5,16-20,17-50,I,,,,,,3-15 н. Проектирование систем управления и поддержки принятия решений,лк,Прилипко В.А.,База,,ЧЕТВЕРГ,5,16-20,17-50,I,3-15 н. Программное обеспечение корпоративных информационных систем,лк,Павлович Т.В.,А-220,,,,,,,ЧЕТВЕРГ,5,16-20,17-50,I,3-17 н. Программное обеспечение параллельных вычислений,лк,Лобанов А.И.,А-221,,3-15 н. Программное обеспечение систем поддержки принятия решения в гидрометеорологии,лк,Киктев Д.Б.,База,
ЧЕТВЕРГ,5,16-20,17-50,II,2-16 н. Проектирование и разработка цифровых устройств на базе программируемых логических интегральных схем,лк,Смирнов Н.А.,Г-109-а,,2-16 н. Проектирование и разработка цифровых устройств на базе программируемых логических интегральных схем,лк,Смирнов Н.А.,Г-109-а,,ЧЕТВЕРГ,5,16-20,17-50,II,,,,,,,,,,,ЧЕТВЕРГ,5,16-20,17-50,II,,,,,,,,,,,ЧЕТВЕРГ,5,16-20,17-50,II,18 н. Системы распознавания и обработки данных ,лк,Силаев Ю.В.,База,,2-18 н. Хранилища данных систем управления ресурсами и взаимоотношениями предприятия,пр,Назаров А..Н.,И-212-б,,ЧЕТВЕРГ,5,16-20,17-50,II,2-16 н. Технологии формирования межотраслевого и межгосударственного единого информационного пространства ,пр,Головин С.А.,А-111,,2-16 н. Технологии личностного роста,пр,Мусатова О.А.,А-218,,ЧЕТВЕРГ,5,16-20,17-50,II,"2-16 н. Системы и службы поддержки пользователей
18 н. Программное обеспечение корпоративных информационных систем",лк,Павлович Т.В.,А-220,,2-16 н. Системы и службы поддержки пользователей,лк,Павлович Т.В.,А-220,,ЧЕТВЕРГ,5,16-20,17-50,II,,,,,,"2-16 н. Технологии личностного роста
18 н. Программное обеспечение систем поддержки принятия решения в гидрометеорологии","пр
лк","Мусатова О.А.
Киктев Д.Б.",А-218,
ЧЕТВЕРГ,6,18-00,19-30,I,3-15 н. Верификация проектов в системах автоматизированного проектирования,пр,Штрекер Е.Н.,Г-109-а,,3-15 н. Проектирование систем на кристалле,пр,Мусихин А.Г.,Г-110-б,,ЧЕТВЕРГ,6,18-00,19-30,I,"3,5,7,9 н. Проектирование и разработка архитектуры высокопроизводительных вычислительных систем",лк,,База,,,,,,,ЧЕТВЕРГ,6,18-00,19-30,I,3-15н. Проектирование и разработка распределённых информационно-управляющих систем,пр,Лукьянов Ю.А. ,База 505,,3-15 н. Проектирование архитектуры информационных систем ,пр,Лобанов А.А.,А-421-2,,ЧЕТВЕРГ,6,18-00,19-30,I,3-15 н. Системы распознавания и обработки данных ,пр,Беляева Е.В.,База,,3-15 н. Хранилища данных систем управления ресурсами и взаимоотношениями предприятия,пр,Назаров А..Н.,Г-312,,ЧЕТВЕРГ,6,18-00,19-30,I,,,,,,3-15 н. Проектирование систем управления и поддержки принятия решений,пр,Прилипко В.А.,База,,ЧЕТВЕРГ,6,18-00,19-30,I,"3,7,11,15 н. Системы и службы поддержки пользователей",пр,Павлович Т.В.,Г-304,,"5,9,13 н. Системы и службы поддержки пользователей",пр,Павлович Т.В.,Г-304,,ЧЕТВЕРГ,6,18-00,19-30,I,3-17 н. Программное обеспечение параллельных вычислений,пр,Лобанов А.И.,Г-427,,3-15 н. Программное обеспечение систем поддержки принятия решения в гидрометеорологии,пр,Киктев Д.Б.,База,
ЧЕТВЕРГ,6,18-00,19-30,II,"2-16 н. Верификация проектов в системах автоматизированного проектирования
18 н. Верификация проектов в системах автоматизированного проектирования","лк
пр",Штрекер Е.Н.,А-204,,2-16 н. Верификация проектов в системах автоматизированного проектирования,лк,Штрекер Е.Н.,А-204,,ЧЕТВЕРГ,6,18-00,19-30,II,2-16 н. Верификация проектов в системах автоматизированного проектирования,лк,Штрекер Е.Н.,А-204,,2-16 н. Верификация проектов в системах автоматизированного проектирования,лк,Штрекер Е.Н.,А-204,,ЧЕТВЕРГ,6,18-00,19-30,II,"2-16 н. Геоинформационные технологии в информационно-управляющих системах
18 н. Проектирование и разработка распределённых информационно-управляющих систем","лк
пр","Серебряков И.Е.
Лукьянов Ю.А. ","База 510
База 505",,"2,4 н. Проектирование и разработка  программных интерфейсов",лк,Алпатов А.Н.,Г-226-1,,ЧЕТВЕРГ,6,18-00,19-30,II,18 н. Системы распознавания и обработки данных ,пр,Беляева Е.В.,База,,"2-16 н. Управление проектными командами
18 н. Хранилища данных систем управления ресурсами и взаимоотношениями предприятия","пр
лк","Быкова А.В.
Назаров А..Н.",А-208,,ЧЕТВЕРГ,6,18-00,19-30,II,2-16 н. Технологии формирования межотраслевого и межгосударственного единого информационного пространства ,лк,Головин С.А.,А-111,,2-16 н. Технологии формирования межотраслевого и межгосударственного единого информационного пространства ,лк,Головин С.А.,А-111,,ЧЕТВЕРГ,6,18-00,19-30,II,2-16 н. Технологии личностного роста,пр,Мусатова О.А.,А-218,,2-18 н. Системы и службы поддержки пользователей,пр,Павлович Т.В.,Г-304,,ЧЕТВЕРГ,6,18-00,19-30,II,,,,,,18 н. Программное обеспечение систем поддержки принятия решения в гидрометеорологии,пр,Киктев Д.Б.,База,
ЧЕТВЕРГ,7,19-40,21-10,I,3-15 н. Проектирование систем на кристалле,пр,Мусихин А.Г.,Г-110-б,,3-15 н. Верификация проектов в системах автоматизированного проектирования,пр,Штрекер Е.Н.,Г-109-а,,ЧЕТВЕРГ,7,19-40,21-10,I,,,,,,,,,,,ЧЕТВЕРГ,7,19-40,21-10,I,3-15н. Проектирование и разработка распределённых информационно-управляющих систем,лаб,Лукьянов Ю.А. ,База 505,,,,,,,ЧЕТВЕРГ,7,19-40,21-10,I,3-15 н. Системы распознавания и обработки данных ,пр,Беляева Е.В.,База,,,,,,,ЧЕТВЕРГ,7,19-40,21-10,I,,,,,,3-15 н. Проектирование систем управления и поддержки принятия решений,пр,Прилипко В.А.,База,,ЧЕТВЕРГ,7,19-40,21-10,I,"3,7,11,15 н. Системы и службы поддержки пользователей",пр,Павлович Т.В.,Г-304,,"5,9,13 н. Системы и службы поддержки пользователей",пр,Павлович Т.В.,Г-304,,ЧЕТВЕРГ,7,19-40,21-10,I,3-17 н. Программное обеспечение параллельных вычислений,пр,Лобанов А.И.,Г-427,,3-15 н. Программное обеспечение систем поддержки принятия решения в гидрометеорологии,пр,Киктев Д.Б.,База,
ЧЕТВЕРГ,7,19-40,21-10,II,,,,,,18 н. Верификация проектов в системах автоматизированного проектирования,пр,Штрекер Е.Н.,Г-109-а,,ЧЕТВЕРГ,7,19-40,21-10,II,2-16 н. Верификация проектов в системах автоматизированного проектирования,пр,Штрекер Е.Н.,Г-109-а,,,,,,,ЧЕТВЕРГ,7,19-40,21-10,II,"2-16 н. Геоинформационные технологии в информационно-управляющих системах
18 н. Проектирование и разработка распределённых информационно-управляющих систем","пр
пр","Серебряков И.Е.
Лукьянов Ю.А. ","База 510
База 505",,,,,,,ЧЕТВЕРГ,7,19-40,21-10,II,"2-16 н. Управление проектными командами
18 н. Системы распознавания и обработки данных ","пр
пр","Быкова А.В.
Беляева Е.В.","А-208
База",,,,,,,ЧЕТВЕРГ,7,19-40,21-10,II,2-16 н. Технологии формирования межотраслевого и межгосударственного единого информационного пространства ,пр,Головин С.А.,Г-301-б,,,,,,,ЧЕТВЕРГ,7,19-40,21-10,II,2-16 н. Системы и службы поддержки пользователей,пр,Павлович Т.В.,Г-304,,"2-16 н. Технологии личностного роста
18 н.  Системы и службы поддержки пользователей","пр
пр","Мусатова О.А.
Павлович Т.В.",А-218,,ЧЕТВЕРГ,7,19-40,21-10,II,,,,,,18 н. Программное обеспечение систем поддержки принятия решения в гидрометеорологии,пр,Киктев Д.Б.,База,
ЧЕТВЕРГ,7,18-30,20-00,I,,,,,,,,,,,ЧЕТВЕРГ,7,18-30,20-00,I,,,,,,,,,,,ЧЕТВЕРГ,7,18-30,20-00,I,,,,,,,,,,,ЧЕТВЕРГ,7,18-30,20-00,I,,,,,,,,,,,ЧЕТВЕРГ,7,18-30,20-00,I,,,,,,,,,,,ЧЕТВЕРГ,7,18-30,20-00,I,,,,,,,,,,,ЧЕТВЕРГ,7,18-30,20-00,I,,,,,,,,,,
ЧЕТВЕРГ,7,18-30,20-00,II,,,,,,,,,,,ЧЕТВЕРГ,7,18-30,20-00,II,,,,,,,,,,,ЧЕТВЕРГ,7,18-30,20-00,II,,,,,,,,,,,ЧЕТВЕРГ,7,18-30,20-00,II,,,,,,,,,,,ЧЕТВЕРГ,7,18-30,20-00,II,,,,,,,,,,,ЧЕТВЕРГ,7,18-30,20-00,II,,,,,,,,,,,ЧЕТВЕРГ,7,18-30,20-00,II,,,,,,,,,,
ЧЕТВЕРГ,8,20-10,21-40,I,,,,,,,,,,,ЧЕТВЕРГ,8,20-10,21-40,I,,,,,,,,,,,ЧЕТВЕРГ,8,20-10,21-40,I,,,,,,,,,,,ЧЕТВЕРГ,8,20-10,21-40,I,,,,,,,,,,,ЧЕТВЕРГ,8,20-10,21-40,I,,,,,,,,,,,ЧЕТВЕРГ,8,20-10,21-40,I,,,,,,,,,,,ЧЕТВЕРГ,8,20-10,21-40,I,,,,,,,,,,
ЧЕТВЕРГ,8,20-10,21-40,II,,,,,,,,,,,ЧЕТВЕРГ,8,20-10,21-40,II,,,,,,,,,,,ЧЕТВЕРГ,8,20-10,21-40,II,,,,,,,,,,,ЧЕТВЕРГ,8,20-10,21-40,II,,,,,,,,,,,ЧЕТВЕРГ,8,20-10,21-40,II,,,,,,,,,,,ЧЕТВЕРГ,8,20-10,21-40,II,,,,,,,,,,,ЧЕТВЕРГ,8,20-10,21-40,II,,,,,,,,,,
ПЯТНИЦА,1,9-00,10-30,I,,,,,,,,,,,ПЯТНИЦА,1,9-00,10-30,I,,,,,,,,,,,ПЯТНИЦА,1,9-00,10-30,I,,,,,,,,,,,ПЯТНИЦА,1,9-00,10-30,I,,,,,,,,,,,ПЯТНИЦА,1,9-00,10-30,I,,,,,,,,,,,ПЯТНИЦА,1,9-00,10-30,I,,,,,,,,,,,ПЯТНИЦА,1,9-00,10-30,I,,,,,,,,,,
ПЯТНИЦА,1,9-00,10-30,II,,,,,,,,,,,ПЯТНИЦА,1,9-00,10-30,II,,,,,,,,,,,ПЯТНИЦА,1,9-00,10-30,II,,,,,,,,,,,ПЯТНИЦА,1,9-00,10-30,II,,,,,,,,,,,ПЯТНИЦА,1,9-00,10-30,II,,,,,,,,,,,ПЯТНИЦА,1,9-00,10-30,II,,,,,,,,,,,ПЯТНИЦА,1,9-00,10-30,II,,,,,,,,,,
ПЯТНИЦА,2,10-40,12-10,I,,,,,,,,,,,ПЯТНИЦА,2,10-40,12-10,I,,,,,,,,,,,ПЯТНИЦА,2,10-40,12-10,I,,,,,,,,,,,ПЯТНИЦА,2,10-40,12-10,I,,,,,,,,,,,ПЯТНИЦА,2,10-40,12-10,I,,,,,,,,,,,ПЯТНИЦА,2,10-40,12-10,I,,,,,,,,,,,ПЯТНИЦА,2,10-40,12-10,I,,,,,,,,,,
ПЯТНИЦА,2,10-40,12-10,II,,,,,,,,,,,ПЯТНИЦА,2,10-40,12-10,II,,,,,,,,,,,ПЯТНИЦА,2,10-40,12-10,II,,,,,,,,,,,ПЯТНИЦА,2,10-40,12-10,II,,,,,,,,,,,ПЯТНИЦА,2,10-40,12-10,II,,,,,,,,,,,ПЯТНИЦА,2,10-40,12-10,II,,,,,,,,,,,ПЯТНИЦА,2,10-40,12-10,II,,,,,,,,,,
ПЯТНИЦА,3,12-40,14-10,I,,,,,,,,,,,ПЯТНИЦА,3,12-40,14-10,I,,,,,,,,,,,ПЯТНИЦА,3,12-40,14-10,I,,,,,,,,,,,ПЯТНИЦА,3,12-40,14-10,I,,,,,,,,,,,ПЯТНИЦА,3,12-40,14-10,I,,,,,,,,,,,ПЯТНИЦА,3,12-40,14-10,I,,,,,,,,,,,ПЯТНИЦА,3,12-40,14-10,I,,,,,,,,,,
ПЯТНИЦА,3,12-40,14-10,II,,,,,,,,,,,ПЯТНИЦА,3,12-40,14-10,II,,,,,,,,,,,ПЯТНИЦА,3,12-40,14-10,II,,,,,,,,,,,ПЯТНИЦА,3,12-40,14-10,II,,,,,,,,,,,ПЯТНИЦА,3,12-40,14-10,II,,,,,,,,,,,ПЯТНИЦА,3,12-40,14-10,II,,,,,,,,,,,ПЯТНИЦА,3,12-40,14-10,II,,,,,,,,,,
ПЯТНИЦА,4,14-20,15-50,I,,,,,,,,,,,ПЯТНИЦА,4,14-20,15-50,I,,,,,,,,,,,ПЯТНИЦА,4,14-20,15-50,I,,,,,,,,,,,ПЯТНИЦА,4,14-20,15-50,I,,,,,,,,,,,ПЯТНИЦА,4,14-20,15-50,I,,,,,,,,,,,ПЯТНИЦА,4,14-20,15-50,I,,,,,,,,,,,ПЯТНИЦА,4,14-20,15-50,I,,,,,,,,,,
ПЯТНИЦА,4,14-20,15-50,II,,,,,,,,,,,ПЯТНИЦА,4,14-20,15-50,II,,,,,,,,,,,ПЯТНИЦА,4,14-20,15-50,II,,,,,,,,,,,ПЯТНИЦА,4,14-20,15-50,II,,,,,,,,,,,ПЯТНИЦА,4,14-20,15-50,II,,,,,,,,,,,ПЯТНИЦА,4,14-20,15-50,II,,,,,,,,,,,ПЯТНИЦА,4,14-20,15-50,II,,,,,,,,,,
ПЯТНИЦА,5,16-20,17-50,I,,,,,,,,,,,ПЯТНИЦА,5,16-20,17-50,I,3-17 н. Инструментальные средства параллельного программирования,лк,,База,,,,,,,ПЯТНИЦА,5,16-20,17-50,I,,,,,,3-17 н. Проектирование и разработка  программных интерфейсов,пр,Алпатов А.Н.,Г-226-2,,ПЯТНИЦА,5,16-20,17-50,I,"3-17 н. Архитектура, проектирование и разработка программных средств",пр,Батанов А.О.,Г-226-1,,,,,,,ПЯТНИЦА,5,16-20,17-50,I,,,,,,3-17 н. Технологии формирования межотраслевого и межгосударственного единого информационного пространства ,пр,Гимранов Э.И.,А-204,,ПЯТНИЦА,5,16-20,17-50,I,,,,,,3-17 н. Программное обеспечение распределенных информационных систем,лк,Лямин Ю.А,База,,ПЯТНИЦА,5,16-20,17-50,I,3-17 н Интеллектуальный анализ данных ,пр,Кузьмин В.И.,ИВЦ-109,,3-17 н Интеллектуальный анализ данных ,пр,Кузьмин В.И.,ИВЦ-109,
ПЯТНИЦА,5,16-20,17-50,II,,,,,,,,,,,ПЯТНИЦА,5,16-20,17-50,II,2-16 н. Математическое обеспечение высокопроизводительных вычислительных систем,лк,,База,,,,,,,ПЯТНИЦА,5,16-20,17-50,II,,,,,,2-16 н. Проектирование и разработка  программных интерфейсов,пр,Алпатов А.Н.,Г-226-2,,ПЯТНИЦА,5,16-20,17-50,II,"2-16 н. Архитектура, проектирование и разработка программных средств",пр,Батанов А.О.,Г-226-1,,,,,,,ПЯТНИЦА,5,16-20,17-50,II,2-16 н. Облачные и распределенные платформы и сервисы,лк,Синицын И.В.,А-208,,,,,,,ПЯТНИЦА,5,16-20,17-50,II,2-16 н. Распределенные информационные системы,пр,Романова Е.В.,База,,2-16 н. Проектирование распределенных информационных систем,лк,Петров М.Ю,База,,ПЯТНИЦА,5,16-20,17-50,II,2-16 н Интеллектуальный анализ данных ,пр,Кузьмин В.И.,Г-101,,2-16 н Интеллектуальный анализ данных ,пр,Кузьмин В.И.,Г-101,
ПЯТНИЦА,6,18-00,19-30,I,3-17 н. Проектирование и разработка цифровых устройств на базе программируемых логических интегральных схем,пр,Пономарев А.Н.,Г-110-а,,,,,,,ПЯТНИЦА,6,18-00,19-30,I,3-17 н. Инструментальные средства параллельного программирования,пр,,База,,3-17 н. Проектирование и разработка систем поддержки принятия решений в информационно-аналитических системах,лк,Паршин И.О.,База,,ПЯТНИЦА,6,18-00,19-30,I,3-17 н. Проектирование информационно-управляющих систем,лк,Корзинкин В.С.,База 505,,3-17 н. Системы управления реляционными и нереляционными базами данных,лк,Жматов Д.В.,А-208,,ПЯТНИЦА,6,18-00,19-30,I,"3-17 н. Архитектура, проектирование и разработка программных средств",пр,Батанов А.О.,Г-226-1,,,,,,,ПЯТНИЦА,6,18-00,19-30,I,,,,,,3-17 н. Технологии формирования межотраслевого и межгосударственного единого информационного пространства ,пр,Гимранов Э.И.,А-204,,ПЯТНИЦА,6,18-00,19-30,I,,,,,,3-17 н. Программное обеспечение распределенных информационных систем,пр,Максимов А.Ю.,База,,ПЯТНИЦА,6,18-00,19-30,I,3-17 н Интеллектуальный анализ данных ,лк,Кузьмин В.И.,ИВЦ-109,,3-17 н Интеллектуальный анализ данных ,лк,Кузьмин В.И.,ИВЦ-109,
ПЯТНИЦА,6,18-00,19-30,II,,,,,,2-16 н. Проектирование и разработка цифровых устройств на базе программируемых логических интегральных схем,пр,Пономарев А.Н.,Г-110-а,,ПЯТНИЦА,6,18-00,19-30,II,2-16 н. Математическое обеспечение высокопроизводительных вычислительных систем,пр,,База,,2-16 н. Проектирование и разработка систем поддержки принятия решений в информационно-аналитических системах,пр,Паршин И.О.,База,,ПЯТНИЦА,6,18-00,19-30,II,2-16 н.Проектирование информационно-управляющих систем,пр,Корзинкин В.С.,База 505,,2 н. Проектирование и разработка систем управления информационными ресурсами,пр,Лобанов А.А.,Г-227-1,,ПЯТНИЦА,6,18-00,19-30,II,,,,,,,,,,,ПЯТНИЦА,6,18-00,19-30,II,2-16 н. Облачные и распределенные платформы и сервисы,пр,Синицын И.В.,Г-301-в,,"2,4 н. Архитектура, проектирование и разработка программных средств",пр,Батанов А.О.,Г-304,,ПЯТНИЦА,6,18-00,19-30,II,2-16 н. Распределенные информационные системы,пр,Романова Е.В.,База,,2-16 н. Проектирование распределенных информационных систем,пр,Кривошея М.С.,База,,ПЯТНИЦА,6,18-00,19-30,II,,,,,,,,,,
