День недели,Группа,Unnamed: 2,Unnamed: 3,Unnamed: 4,ГДБО-01-20,ДИиП,"46.03.02 
СТУД ",33,Unnamed: 9,ГИБО-01-20,ИТГУ,"38.03.05 
АП",26,Unnamed: 14,День недели.1,Группа.1,Unnamed: 17,Unnamed: 18,Unnamed: 19,ГИБО-02-20,ИТГУ.1,"38.03.05 
АП.1",29,Unnamed: 24,ГИБО-03-20,ИТГУ.2,"38.03.05 
АП.2",27,Unnamed: 29,День недели.2,Группа.2,Unnamed: 32,Unnamed: 33,Unnamed: 34,ГИБО-04-20,ИТГУ.3,"38.03.05 
АП.3",26.1,Unnamed: 39,ГУБО-01-20,ИТГУ.4,"38.03.04
ИТвГУ",24,Unnamed: 44,День недели.3,Группа.3,Unnamed: 47,Unnamed: 48,Unnamed: 49,ГУБО-02-20,ИТГУ.5,"38.03.04
ИТвГУ.1",27.1,Unnamed: 54,ГМБО-01-20,СТУ,"38.03.02
Мен",25,Unnamed: 59,День недели.4,Группа.4,Unnamed: 62,Unnamed: 63,Unnamed: 64,ГМБО-02-20,СТУ.1,"38.03.02
Мен.1",26.2,Unnamed: 69,ГМБО-03-20,СТУ.2,"38.03.02
Мен.2",27.2,Unnamed: 74,День недели.5,Группа.5,Unnamed: 77,Unnamed: 78,Unnamed: 79,ГСБО-01-20,СММУ,"01.03.05
БА",29.1,Unnamed: 84,ГСБО-02-20,СММУ.1,"01.03.05
БА.1",30,Unnamed: 89,День недели.6,Группа.6,Unnamed: 92,Unnamed: 93,Unnamed: 94,ГЭБО-01-20,"эконо
мики","38.03.01 
ЭПиО",22,Unnamed: 99,ГЭБО-02-20,"эконо
мики.1","38.03.01 
ЭПиО.1",22.1,Unnamed: 104,День недели.7,Группа.7,Unnamed: 107,Unnamed: 108,Unnamed: 109,ГЭБО-03-20,"эконо
мики.2","38.03.01 
ЭПиО.2",21,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,День недели.8
,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,
ПОНЕДЕЛЬНИК,1,09-00,10-30,I,"кр. 1 н. Проектная практика
",СР,,кафедра,,,,,,,ПОНЕДЕЛЬНИК,1,09-00,10-30,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,1,09-00,10-30,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,1,09-00,10-30,I,"кр. 1 н. Электронное правительство
",П,Стариковская Н.А.,ауд. А-113 (В-78),,"кр. 1 н. Реклама и связи с общественностью
",Л,Никорук И.Ф.,ауд. А-178 (В-78),,ПОНЕДЕЛЬНИК,1,09-00,10-30,I,"кр. 1 н. Реклама и связи с общественностью
",Л,Никорук И.Ф.,ауд. А-178 (В-78),,"кр. 1 н. Реклама и связи с общественностью
",Л,Никорук И.Ф.,ауд. А-178 (В-78),,ПОНЕДЕЛЬНИК,1,09-00,10-30,I,"кр. 1 н. Основы интеллектуального анализа данных
",П,Маркович Е.Д.,ауд. А-425 (В-78),,,,,,,ПОНЕДЕЛЬНИК,1,09-00,10-30,I,"кр. 1 н. Деловой иностранный язык
",П,,ауд. И-305 (В-78),,,,,,,ПОНЕДЕЛЬНИК,1,09-00,10-30,I,,,,,,,,,,,ПОНЕДЕЛЬНИК
ПОНЕДЕЛЬНИК,1,09-00,10-30,II,"Проектная практика
",СР,,кафедра,,"Моделирование бизнес-процессов
",Л,Сиганьков А.А.,ауд. А-16 (В-78),,ПОНЕДЕЛЬНИК,1,09-00,10-30,II,"Моделирование бизнес-процессов
",Л,Сиганьков А.А.,ауд. А-16 (В-78),,"Моделирование бизнес-процессов
",Л,Сиганьков А.А.,ауд. А-16 (В-78),,ПОНЕДЕЛЬНИК,1,09-00,10-30,II,"Моделирование бизнес-процессов
",Л,Сиганьков А.А.,ауд. А-16 (В-78),,"Моделирование бизнес-процессов
",Л,Сиганьков А.А.,ауд. А-16 (В-78),,ПОНЕДЕЛЬНИК,1,09-00,10-30,II,"Моделирование бизнес-процессов
",Л,Сиганьков А.А.,ауд. А-16 (В-78),,,,,,,ПОНЕДЕЛЬНИК,1,09-00,10-30,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,1,09-00,10-30,II,"Основы интеллектуального анализа данных
",П,Маркович Е.Д.,ауд. А-425 (В-78),,,,,,,ПОНЕДЕЛЬНИК,1,09-00,10-30,II,"Деловой иностранный язык
",П,,ауд. И-305 (В-78),,,,,,,ПОНЕДЕЛЬНИК,1,09-00,10-30,II,,,,,,,,,,,ПОНЕДЕЛЬНИК
ПОНЕДЕЛЬНИК,2,10-40,12-10,I,"кр. 1 н. Проектная практика
",СР,,кафедра,,,,,,,ПОНЕДЕЛЬНИК,2,10-40,12-10,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,2,10-40,12-10,I,"кр. 1 н. Стратегический менеджмент
",П,Сиганьков А.А.,комп. А-329 (В-78),,"кр. 1 н. Электронное правительство
",Л,Стариковская Н.А.,ауд. А-113 (В-78),,ПОНЕДЕЛЬНИК,2,10-40,12-10,I,"кр. 1 н. Электронное правительство
",Л,Стариковская Н.А.,ауд. А-113 (В-78),,"кр. 1 н. Брендинг
",Л,Тультаев Т.А.,ауд. А-427 (В-78),,ПОНЕДЕЛЬНИК,2,10-40,12-10,I,"кр. 1 н. Брендинг
",Л,Тультаев Т.А.,ауд. А-427 (В-78),,"кр. 1 н. Брендинг
",Л,Тультаев Т.А.,ауд. А-427 (В-78),,ПОНЕДЕЛЬНИК,2,10-40,12-10,I,"кр. 1 н. Статистика основных секторов экономики
",П,Маркович Е.Д.,ауд. А-425 (В-78),,"кр. 1 н. Деловой иностранный язык

кр. 1 н. Деловой иностранный язык
","П

П","

","ауд. И-314 (В-78)

ауд. И-325 (В-78)","

",ПОНЕДЕЛЬНИК,2,10-40,12-10,I,"кр. 1 н. Деловой иностранный язык
",П,,ауд. И-322 (В-78),,,,,,,ПОНЕДЕЛЬНИК,2,10-40,12-10,I,"кр. 1 н. Деловой иностранный язык

кр. 1 н. Деловой иностранный язык
","П

П","

","ауд. И-315 (В-78)

ауд. И-327 (В-78)","

",,,,,,ПОНЕДЕЛЬНИК
ПОНЕДЕЛЬНИК,2,10-40,12-10,II,"Проектная практика
",СР,,кафедра,,"Рынки информационно-коммуникационных технологий
",Л,Стариковская Н.А.,ауд. А-16 (В-78),,ПОНЕДЕЛЬНИК,2,10-40,12-10,II,"Рынки информационно-коммуникационных технологий
",Л,Стариковская Н.А.,ауд. А-16 (В-78),,"Рынки информационно-коммуникационных технологий
",Л,Стариковская Н.А.,ауд. А-16 (В-78),,ПОНЕДЕЛЬНИК,2,10-40,12-10,II,"Рынки информационно-коммуникационных технологий
",Л,Стариковская Н.А.,ауд. А-16 (В-78),,"Рынки информационно-коммуникационных технологий
",Л,Стариковская Н.А.,ауд. А-16 (В-78),,ПОНЕДЕЛЬНИК,2,10-40,12-10,II,"Рынки информационно-коммуникационных технологий
",Л,Стариковская Н.А.,ауд. А-16 (В-78),,"Стратегический менеджмент
",П,Сиганьков А.А.,комп. А-329 (В-78),,ПОНЕДЕЛЬНИК,2,10-40,12-10,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,2,10-40,12-10,II,"Статистика основных секторов экономики
",П,Маркович Е.Д.,ауд. А-425 (В-78),,"Деловой иностранный язык

Деловой иностранный язык
","П

П","

","ауд. И-314 (В-78)

ауд. И-325 (В-78)","

",ПОНЕДЕЛЬНИК,2,10-40,12-10,II,"Деловой иностранный язык
",П,,ауд. И-322 (В-78),,,,,,,ПОНЕДЕЛЬНИК,2,10-40,12-10,II,"Деловой иностранный язык

Деловой иностранный язык
","П

П","

","ауд. И-315 (В-78)

ауд. И-327 (В-78)","

",,,,,,ПОНЕДЕЛЬНИК
ПОНЕДЕЛЬНИК,3,12-40,14-10,I,"кр. 1 н. Проектная практика
",СР,,кафедра,,,,,,,ПОНЕДЕЛЬНИК,3,12-40,14-10,I,,,,,,"кр. 1 н. Архитектура предприятия
",П,Вартанян А.А.,комп. А-329 (В-78),,ПОНЕДЕЛЬНИК,3,12-40,14-10,I,"кр. 1 н. Стратегический менеджмент
",П,Сиганьков А.А.,ауд. А-113 (В-78),,,,,,,ПОНЕДЕЛЬНИК,3,12-40,14-10,I,,,,,,"кр. 1 н. Брендинг
",П,Тультаев Т.А.,ауд. А-325 (В-78),,ПОНЕДЕЛЬНИК,3,12-40,14-10,I,"кр. 1 н. Реклама и связи с общественностью
",П,Никорук И.Ф.,ауд. А-427 (В-78),,,,,,,ПОНЕДЕЛЬНИК,3,12-40,14-10,I,"кр. 1 н. Статистика основных секторов экономики
",Л,Дарда Е.С.,ауд. А-425 (В-78),,"кр. 1 н. Статистика основных секторов экономики
",Л,Дарда Е.С.,ауд. А-425 (В-78),,ПОНЕДЕЛЬНИК,3,12-40,14-10,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,3,12-40,14-10,I,"кр. 1 н. Кредитование бизнес-проектов
",П,Никулина С.А.,ауд. Д-208 (В-78),,,,,,,ПОНЕДЕЛЬНИК
ПОНЕДЕЛЬНИК,3,12-40,14-10,II,"Проектная практика
",СР,,кафедра,,"Рынки информационно-коммуникационных технологий
",П,Стариковская Н.А.,ауд. А-177 (В-78),,ПОНЕДЕЛЬНИК,3,12-40,14-10,II,"Основы предпринимательской деятельности
",П,Чижанькова И.В.,ауд. А-327 (В-78),,"Архитектура предприятия
",П,Вартанян А.А.,комп. А-329 (В-78),,ПОНЕДЕЛЬНИК,3,12-40,14-10,II,"Документирование управленческой деятельности
",П,Леонова С.Л.,ауд. А-219 (В-78),,,,,,,ПОНЕДЕЛЬНИК,3,12-40,14-10,II,"Моделирование бизнес-процессов
",П,Горшкова Н.Е.,комп. ивц-102 (В-78),,"Стратегический менеджмент
",П,Сиганьков А.А.,ауд. А-213м (В-78),,ПОНЕДЕЛЬНИК,3,12-40,14-10,II,"Реклама и связи с общественностью
",П,Никорук И.Ф.,ауд. А-427 (В-78),,"Брендинг
",П,Тультаев Т.А.,ауд. А-325 (В-78),,ПОНЕДЕЛЬНИК,3,12-40,14-10,II,"Статистика основных секторов экономики
",Л,Дарда Е.С.,ауд. А-425 (В-78),,"Статистика основных секторов экономики
",Л,Дарда Е.С.,ауд. А-425 (В-78),,ПОНЕДЕЛЬНИК,3,12-40,14-10,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,3,12-40,14-10,II,"Кредитование бизнес-проектов
",П,Никулина С.А.,ауд. Д-208 (В-78),,,,,,,ПОНЕДЕЛЬНИК
ПОНЕДЕЛЬНИК,4,14-20,15-50,I,"кр. 1,15,17 н. Проектная практика
",СР,,кафедра,,,,,,,ПОНЕДЕЛЬНИК,4,14-20,15-50,I,"кр. 1 н. Деловой иностранный язык

кр. 1 н. Деловой иностранный язык
","П

П","

","ауд. И-316 (В-78)

ауд. И-321 (В-78)","

",,,,,,ПОНЕДЕЛЬНИК,4,14-20,15-50,I,"кр. 1 н. Архитектура предприятия
",П,Вартанян А.А.,ауд. А-220 (В-78),,,,,,,ПОНЕДЕЛЬНИК,4,14-20,15-50,I,,,,,,"кр. 1 н. Реклама и связи с общественностью
",П,Никорук И.Ф.,ауд. А-311 (В-78),,ПОНЕДЕЛЬНИК,4,14-20,15-50,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,4,14-20,15-50,I,,,,,,"кр. 1 н. Статистика основных секторов экономики
",П,Маркович Е.Д.,ауд. А-425 (В-78),,ПОНЕДЕЛЬНИК,4,14-20,15-50,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,4,14-20,15-50,I,,,,,,,,,,,ПОНЕДЕЛЬНИК
ПОНЕДЕЛЬНИК,4,14-20,15-50,II,,,,,,"Анализ и диагностика финансовой деятельности предприятия
",П,Бекетова О.Н.,ауд. А-217 (В-78),,ПОНЕДЕЛЬНИК,4,14-20,15-50,II,"Деловой иностранный язык

Деловой иностранный язык
","П

П","

","ауд. И-316 (В-78)

ауд. И-321 (В-78)","

",,,,,,ПОНЕДЕЛЬНИК,4,14-20,15-50,II,"Архитектура предприятия
",П,Вартанян А.А.,ауд. А-5 (В-78),,,,,,,ПОНЕДЕЛЬНИК,4,14-20,15-50,II,,,,,,"Реклама и связи с общественностью
",П,Никорук И.Ф.,ауд. А-311 (В-78),,ПОНЕДЕЛЬНИК,4,14-20,15-50,II,"Брендинг
",П,Тультаев Т.А.,ауд. А-325 (В-78),,"Стратегический менеджмент
",П,Сиганьков А.А.,ауд. А-177-1 (В-78),,ПОНЕДЕЛЬНИК,4,14-20,15-50,II,"Основы интеллектуального анализа данных
",Л,Бурцева Т.А.,ауд. А-425 (В-78),,"Основы интеллектуального анализа данных
",Л,Бурцева Т.А.,ауд. А-425 (В-78),,ПОНЕДЕЛЬНИК,4,14-20,15-50,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,4,14-20,15-50,II,,,,,,,,,,,ПОНЕДЕЛЬНИК
ПОНЕДЕЛЬНИК,5,16-20,17-50,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,5,16-20,17-50,I,"кр. 1 н. Архитектура предприятия
",П,Вартанян А.А.,комп. А-329 (В-78),,,,,,,ПОНЕДЕЛЬНИК,5,16-20,17-50,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,5,16-20,17-50,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,5,16-20,17-50,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,5,16-20,17-50,I,,,,,,"кр. 1 н. Статистика основных секторов экономики
",П,Маркович Е.Д.,ауд. А-425 (В-78),,ПОНЕДЕЛЬНИК,5,16-20,17-50,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,5,16-20,17-50,I,,,,,,,,,,,ПОНЕДЕЛЬНИК
ПОНЕДЕЛЬНИК,5,16-20,17-50,II,,,,,,"Основы предпринимательской деятельности
",П,Чижанькова И.В.,ауд. А-217 (В-78),,ПОНЕДЕЛЬНИК,5,16-20,17-50,II,"Архитектура предприятия
",П,Вартанян А.А.,комп. А-329 (В-78),,,,,,,ПОНЕДЕЛЬНИК,5,16-20,17-50,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,5,16-20,17-50,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,5,16-20,17-50,II,,,,,,"Стратегический менеджмент
",П,Сиганьков А.А.,ауд. А-177-1 (В-78),,ПОНЕДЕЛЬНИК,5,16-20,17-50,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,5,16-20,17-50,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,5,16-20,17-50,II,,,,,,,,,,,ПОНЕДЕЛЬНИК
ПОНЕДЕЛЬНИК,6,18-00,19-30,I,,,,,,"кр. 1 н. Архитектура предприятия
",П,Вартанян А.А.,комп. А-329 (В-78),,ПОНЕДЕЛЬНИК,6,18-00,19-30,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,6,18-00,19-30,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,6,18-00,19-30,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,6,18-00,19-30,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,6,18-00,19-30,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,6,18-00,19-30,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,6,18-00,19-30,I,,,,,,,,,,,ПОНЕДЕЛЬНИК
ПОНЕДЕЛЬНИК,6,18-00,19-30,II,,,,,,"Архитектура предприятия
",П,Вартанян А.А.,комп. А-329 (В-78),,ПОНЕДЕЛЬНИК,6,18-00,19-30,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,6,18-00,19-30,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,6,18-00,19-30,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,6,18-00,19-30,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,6,18-00,19-30,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,6,18-00,19-30,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,6,18-00,19-30,II,,,,,,,,,,,ПОНЕДЕЛЬНИК
ПОНЕДЕЛЬНИК,7,19-40,21-10,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,19-40,21-10,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,19-40,21-10,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,19-40,21-10,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,19-40,21-10,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,19-40,21-10,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,19-40,21-10,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,19-40,21-10,I,,,,,,,,,,,ПОНЕДЕЛЬНИК
ПОНЕДЕЛЬНИК,7,19-40,21-10,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,19-40,21-10,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,19-40,21-10,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,19-40,21-10,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,19-40,21-10,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,19-40,21-10,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,19-40,21-10,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,19-40,21-10,II,,,,,,,,,,,ПОНЕДЕЛЬНИК
ВТОРНИК,1,09-00,10-30,I,"кр. 1 н. Организация и технология документационного обеспечения управления
",П,Савка О.Г.,комп. И-212-а (В-78),,"кр. 1 н. Практика по получению профессиональных умений и опыта профессиональной деятельности
",СР,,кафедра,,ВТОРНИК,1,09-00,10-30,I,"кр. 1 н. Практика по получению профессиональных умений и опыта профессиональной деятельности
",СР,,кафедра,,"кр. 1 н. Практика по получению профессиональных умений и опыта профессиональной деятельности
",СР,,кафедра,,ВТОРНИК,1,09-00,10-30,I,"кр. 1 н. Практика по получению профессиональных умений и опыта профессиональной деятельности
",СР,,кафедра,,"кр. 1 н. Рынки информационно-коммуникационных технологий
",П,Стариковская Н.А.,ауд. А-213м (В-78),,ВТОРНИК,1,09-00,10-30,I,"кр. 1 н. Моделирование бизнес-процессов
",П,Горшкова Н.Е.,комп. А-329 (В-78),,,,,,,ВТОРНИК,1,09-00,10-30,I,,,,,,,,,,,ВТОРНИК,1,09-00,10-30,I,,,,,,"кр. 1 н. Методы принятия управленческих решений
",П,Гейман О.Б.,ауд. А-207 (В-78),,ВТОРНИК,1,09-00,10-30,I,,,,,,,,,,,ВТОРНИК,1,09-00,10-30,I,,,,,,,,,,,ВТОРНИК
ВТОРНИК,1,09-00,10-30,II,"Организация и технология документационного обеспечения управления
",П,Савка О.Г.,комп. И-212-а (В-78),,"Практика по получению профессиональных умений и опыта профессиональной деятельности
",СР,,кафедра,,ВТОРНИК,1,09-00,10-30,II,"Практика по получению профессиональных умений и опыта профессиональной деятельности
",СР,,кафедра,,"Практика по получению профессиональных умений и опыта профессиональной деятельности
",СР,,кафедра,,ВТОРНИК,1,09-00,10-30,II,"Практика по получению профессиональных умений и опыта профессиональной деятельности
",СР,,кафедра,,,,,,,ВТОРНИК,1,09-00,10-30,II,,,,,,,,,,,ВТОРНИК,1,09-00,10-30,II,,,,,,,,,,,ВТОРНИК,1,09-00,10-30,II,,,,,,"Методы принятия управленческих решений
",П,Гейман О.Б.,ауд. А-207 (В-78),,ВТОРНИК,1,09-00,10-30,II,"Экономика цифровой организации
",П,Фролов А.Л.,ауд. А-208 (В-78),,,,,,,ВТОРНИК,1,09-00,10-30,II,"Предпринимательская этика
",П,Филаткина А.П.,ауд. Д-210 (В-78),,,,,,,ВТОРНИК
