День недели,Группа,Unnamed: 2,Unnamed: 3,Unnamed: 4,ИВМО-01-22,ВТ,09.04.01,22,Unnamed: 9,ИВМО-02-22,232,09.04.01.1,14,Unnamed: 14,День недели.1,Группа.1,Unnamed: 17,Unnamed: 18,Unnamed: 19,ИВМО-04-22,250,09.04.01.2,15,Unnamed: 24,ИВМО-05-22,244,09.04.01.3,14.1,Unnamed: 29,День недели.2,Группа.2,Unnamed: 32,Unnamed: 33,Unnamed: 34,ИКМО-01-22,ИППО,09.04.04,30,Unnamed: 39,ИКМО-02-22,231,09.04.04.1,29,Unnamed: 44,День недели.3,Группа.3,Unnamed: 47,Unnamed: 48,Unnamed: 49,ИКМО-03-22,КИС,09.04.04.2,30.1,Unnamed: 54,ИКМО-04-22,МОСИТ,09.04.04.3,30.2,Unnamed: 59,День недели.4,Группа.4,Unnamed: 62,Unnamed: 63,Unnamed: 64,ИКМО-05-22,234,09.04.04.4,30.3,Unnamed: 69,ИНМО-01-22,ППИ,09.04.03,22.1,Unnamed: 74,День недели.5,Группа.5,Unnamed: 77,Unnamed: 78,Unnamed: 79,ИНМО-02-22,239,09.04.03.1,19,Unnamed: 84,ИММО-01-22,ПМ,01.04.04,19.1,Unnamed: 89
,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка
ПОНЕДЕЛЬНИК,1,9-00,10-30,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,,,,,,,,,,
ПОНЕДЕЛЬНИК,1,9-00,10-30,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,,,,,,,,,,
ПОНЕДЕЛЬНИК,2,10-40,12-10,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,2,10-40,12-10,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,2,10-40,12-10,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,2,10-40,12-10,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,2,10-40,12-10,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,2,10-40,12-10,I,,,,,,,,,,
ПОНЕДЕЛЬНИК,2,10-40,12-10,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,2,10-40,12-10,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,2,10-40,12-10,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,2,10-40,12-10,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,2,10-40,12-10,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,2,10-40,12-10,II,,,,,,,,,,
ПОНЕДЕЛЬНИК,3,12-40,14-10,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,3,12-40,14-10,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,3,12-40,14-10,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,3,12-40,14-10,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,3,12-40,14-10,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,3,12-40,14-10,I,,,,,,,,,,
ПОНЕДЕЛЬНИК,3,12-40,14-10,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,3,12-40,14-10,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,3,12-40,14-10,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,3,12-40,14-10,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,3,12-40,14-10,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,3,12-40,14-10,II,,,,,,,,,,
ПОНЕДЕЛЬНИК,4,14-20,15-50,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,4,14-20,15-50,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,4,14-20,15-50,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,4,14-20,15-50,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,4,14-20,15-50,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,4,14-20,15-50,I,,,,,,,,,,
ПОНЕДЕЛЬНИК,4,14-20,15-50,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,4,14-20,15-50,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,4,14-20,15-50,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,4,14-20,15-50,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,4,14-20,15-50,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,4,14-20,15-50,II,,,,,,4 н. Профессиональное ориентирование,лк,Лаговский А.Б.,А-177-1,
ПОНЕДЕЛЬНИК,5,16-20,17-50,I,,,,,,3-17 н. Методология проведения научно-исследовательских и опытно-конструкторских работ,пр,Панов А.В.,Д-210,,ПОНЕДЕЛЬНИК,5,16-20,17-50,I,3-17 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем,лаб,Жураковский В.Н.,Г-112,,,,,,,ПОНЕДЕЛЬНИК,5,16-20,17-50,I,3-17 н. Библиотека инфраструктуры информационных технологий,лк,Дешко И.П.,А-111,,,,,,,ПОНЕДЕЛЬНИК,5,16-20,17-50,I,,,,,,3-17 н. Системная инженерия информационных технологий,пр,Гимранов Э.И.,А-418,,ПОНЕДЕЛЬНИК,5,16-20,17-50,I,,,,,,3-17 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем,пр,Скрябин Ю.М.,Г-109-а,,ПОНЕДЕЛЬНИК,5,16-20,17-50,I,"3,7,11,13 н. Методология информационно-аналитической работы
5,9,15 н. Современные проблемы и методы прикладной информатики и развития информационного общества","пр
пр","Смоленцева Т.Е.
Борзых Н.Ю.",И-202-а,,3-17 н. Методология информационно-аналитической работы,пр,Бергер Е.Г.,А--422,
ПОНЕДЕЛЬНИК,5,16-20,17-50,II,2-16 н. Методология проведения научно-исследовательских и опытно-конструкторских работ,пр,Панов А.В.,Д-210,,2-16 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем,лаб,Жураковский В.Н.,Г-112,,ПОНЕДЕЛЬНИК,5,16-20,17-50,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,5,16-20,17-50,II,2-16 н. Библиотека инфраструктуры информационных технологий,лк,Дешко И.П.,А-111,,,,,,,ПОНЕДЕЛЬНИК,5,16-20,17-50,II,2-16 н. Информационное обеспечение систем управления ресурсами и взаимоотношениями предприятия,лк,Полторак А.В.,А-311,,,,,,,ПОНЕДЕЛЬНИК,5,16-20,17-50,II,2-16 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем,пр,Данилович Е.С.,Г-109-а,,,,,,,ПОНЕДЕЛЬНИК,5,16-20,17-50,II,4-16 н. Современные проблемы и методы прикладной информатики и развития информационного общества,пр,Борзых Н.Ю.,А-220,,"4,6,10,14 н. Профессиональное ориентирование",лк,Лаговский А.Б.,Д-208,
ПОНЕДЕЛЬНИК,6,18-00,19-30,I,3-17 н. Архитектура устройств и систем вычислительной техники,лк,Коваленко С.М.,А-113,,3-17 н. Архитектура устройств и систем вычислительной техники,лк,Коваленко С.М.,А-113,,ПОНЕДЕЛЬНИК,6,18-00,19-30,I,3-17 н. Архитектура устройств и систем вычислительной техники,лк,Коваленко С.М.,А-113,,3-17 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем,лаб,Жураковский В.Н.,Г-109-б,,ПОНЕДЕЛЬНИК,6,18-00,19-30,I,3-17 н. Методология проведения научно-исследовательских и опытно-конструкторских работ,пр,Панов А.В.,Д-210,,,,,,,ПОНЕДЕЛЬНИК,6,18-00,19-30,I,3-17 н. Информационное обеспечение систем управления ресурсами и взаимоотношениями предприятия,пр,Полторак А.В.,Г-110,,3-17 н. Системная инженерия информационных технологий,пр,Гимранов Э.И.,А-418,,ПОНЕДЕЛЬНИК,6,18-00,19-30,I,,,,,,3-17 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем,пр,Скрябин Ю.М.,Г-109-а,,ПОНЕДЕЛЬНИК,6,18-00,19-30,I,"3,7,11,13 н. Методология информационно-аналитической работы
5,9,15,17 н. Современные проблемы и методы прикладной информатики и развития информационного общества","пр
пр","Смоленцева Т.Е.
Борзых Н.Ю.",И-201,,3-17 н. Методология информационно-аналитической работы,пр,Бергер Е.Г.,А-422,
ПОНЕДЕЛЬНИК,6,18-00,19-30,II,2-16 н. Методология информационно-аналитической работы,лк,Бергер Е.Г.,А-15,,2-16 н. Методология информационно-аналитической работы,лк,Бергер Е.Г.,А-15,,ПОНЕДЕЛЬНИК,6,18-00,19-30,II,2-16 н. Методология информационно-аналитической работы,лк,Бергер Е.Г.,А-15,,2-16 н. Методология информационно-аналитической работы,лк,Бергер Е.Г.,А-15,,ПОНЕДЕЛЬНИК,6,18-00,19-30,II,2-16н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем,лаб,Унгер А.Ю.,Г-109-б,,2-16 н. Методология проведения научно-исследовательских и опытно-конструкторских работ,пр,Панов А.В.,Д-210,,ПОНЕДЕЛЬНИК,6,18-00,19-30,II,2-16 н. Информационное обеспечение систем управления ресурсами и взаимоотношениями предприятия,пр,Полторак А.В.,Г-110-а,,2-16 н. Системная инженерия информационных технологий,лк,Головин С.А.,Г-413,,ПОНЕДЕЛЬНИК,6,18-00,19-30,II,2-16 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем,пр,Данилович Е.С.,Г-109-а,,2-16 н. Методология информационно-аналитической работы,лк,Бергер Е.Г.,А-15,,ПОНЕДЕЛЬНИК,6,18-00,19-30,II,2-16 н. Методология информационно-аналитической работы,лк,Бергер Е.Г.,А-15,,2-16 н. Методология информационно-аналитической работы,лк,Бергер Е.Г.,А-15,
ПОНЕДЕЛЬНИК,7,19-40,21-10,I,3-17 н. Методология проведения научно-исследовательских и опытно-конструкторских работ,лк,Панов А.В.,А-9,,3-17 н. Методология проведения научно-исследовательских и опытно-конструкторских работ,лк,Панов А.В.,А-9,,ПОНЕДЕЛЬНИК,7,19-40,21-10,I,3-17 н. Методология проведения научно-исследовательских и опытно-конструкторских работ,лк,Панов А.В.,А-9,,3-17 н. Методология проведения научно-исследовательских и опытно-конструкторских работ,лк,Панов А.В.,А-9,,ПОНЕДЕЛЬНИК,7,19-40,21-10,I,3-17 н. Методология проведения научно-исследовательских и опытно-конструкторских работ,лк,Панов А.В.,А-9,,3-17 н. Методология проведения научно-исследовательских и опытно-конструкторских работ,лк,Панов А.В.,А-9,,ПОНЕДЕЛЬНИК,7,19-40,21-10,I,3-17 н. Методология проведения научно-исследовательских и опытно-конструкторских работ,лк,Панов А.В.,А-9,,3-17 н. Методология проведения научно-исследовательских и опытно-конструкторских работ,лк,Панов А.В.,А-9,,ПОНЕДЕЛЬНИК,7,19-40,21-10,I,3-17 н. Методология проведения научно-исследовательских и опытно-конструкторских работ,лк,Панов А.В.,А-9,,3-17 н. Методология проведения научно-исследовательских и опытно-конструкторских работ,лк,Панов А.В.,А-9,,ПОНЕДЕЛЬНИК,7,19-40,21-10,I,3-17 н. Методология проведения научно-исследовательских и опытно-конструкторских работ,лк,Панов А.В.,А-9,,3-17 н. Методология проведения научно-исследовательских и опытно-конструкторских работ,лк,Панов А.В.,А-9,
ПОНЕДЕЛЬНИК,7,19-40,21-10,II,2-16 н. Профессиональное ориентирование,лк,Жураковский В.Н.,Г-112,,2-16 н. Профессиональное ориентирование,лк,Жураковский В.Н.,Г-112,,ПОНЕДЕЛЬНИК,7,19-40,21-10,II,2-16 н. Профессиональное ориентирование,лк,Жураковский В.Н.,Г-112,,2-16 н. Профессиональное ориентирование,лк,Жураковский В.Н.,Г-112,,ПОНЕДЕЛЬНИК,7,19-40,21-10,II,2-16 н. Методология информационно-аналитической работы,лк,Бергер Е.Г.,А-15,,2-16 н. Методология информационно-аналитической работы,лк,Бергер Е.Г.,А-15,,ПОНЕДЕЛЬНИК,7,19-40,21-10,II,2-16 н. Методология информационно-аналитической работы,лк,Бергер Е.Г.,А-15,,2-16 н. Методология информационно-аналитической работы,лк,Бергер Е.Г.,А-15,,ПОНЕДЕЛЬНИК,7,19-40,21-10,II,2-16 н. Методология информационно-аналитической работы,лк,Бергер Е.Г.,А-15,,2 н.  Базовые и прикладные информационные технологии,пр,Борзых Н.Ю.,,,ПОНЕДЕЛЬНИК,7,19-40,21-10,II,,,,,,,,,,
ПОНЕДЕЛЬНИК,7,18-30,20-00,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,18-30,20-00,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,18-30,20-00,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,18-30,20-00,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,18-30,20-00,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,18-30,20-00,I,,,,,,,,,,
ПОНЕДЕЛЬНИК,7,18-30,20-00,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,18-30,20-00,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,18-30,20-00,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,18-30,20-00,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,18-30,20-00,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,7,18-30,20-00,II,,,,,,,,,,
ПОНЕДЕЛЬНИК,8,20-10,21-40,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,8,20-10,21-40,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,8,20-10,21-40,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,8,20-10,21-40,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,8,20-10,21-40,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,8,20-10,21-40,I,,,,,,,,,,
ПОНЕДЕЛЬНИК,8,20-10,21-40,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,8,20-10,21-40,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,8,20-10,21-40,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,8,20-10,21-40,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,8,20-10,21-40,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,8,20-10,21-40,II,,,,,,,,,,
ВТОРНИК,1,9-00,10-30,I,,,,,,,,,,,ВТОРНИК,1,9-00,10-30,I,,,,,,,,,,,ВТОРНИК,1,9-00,10-30,I,,,,,,,,,,,ВТОРНИК,1,9-00,10-30,I,,,,,,,,,,,ВТОРНИК,1,9-00,10-30,I,,,,,,,,,,,ВТОРНИК,1,9-00,10-30,I,,,,,,,,,,
ВТОРНИК,1,9-00,10-30,II,,,,,,,,,,,ВТОРНИК,1,9-00,10-30,II,,,,,,,,,,,ВТОРНИК,1,9-00,10-30,II,,,,,,,,,,,ВТОРНИК,1,9-00,10-30,II,,,,,,,,,,,ВТОРНИК,1,9-00,10-30,II,,,,,,,,,,,ВТОРНИК,1,9-00,10-30,II,,,,,,,,,,
ВТОРНИК,2,10-40,12-10,I,,,,,,,,,,,ВТОРНИК,2,10-40,12-10,I,,,,,,,,,,,ВТОРНИК,2,10-40,12-10,I,,,,,,,,,,,ВТОРНИК,2,10-40,12-10,I,,,,,,,,,,,ВТОРНИК,2,10-40,12-10,I,,,,,,,,,,,ВТОРНИК,2,10-40,12-10,I,,,,,,,,,,
ВТОРНИК,2,10-40,12-10,II,,,,,,,,,,,ВТОРНИК,2,10-40,12-10,II,,,,,,,,,,,ВТОРНИК,2,10-40,12-10,II,,,,,,,,,,,ВТОРНИК,2,10-40,12-10,II,,,,,,,,,,,ВТОРНИК,2,10-40,12-10,II,,,,,,,,,,,ВТОРНИК,2,10-40,12-10,II,,,,,,,,,,
ВТОРНИК,3,12-40,14-10,I,,,,,,,,,,,ВТОРНИК,3,12-40,14-10,I,,,,,,,,,,,ВТОРНИК,3,12-40,14-10,I,,,,,,,,,,,ВТОРНИК,3,12-40,14-10,I,,,,,,,,,,,ВТОРНИК,3,12-40,14-10,I,,,,,,,,,,,ВТОРНИК,3,12-40,14-10,I,,,,,,,,,,
ВТОРНИК,3,12-40,14-10,II,,,,,,,,,,,ВТОРНИК,3,12-40,14-10,II,,,,,,,,,,,ВТОРНИК,3,12-40,14-10,II,,,,,,,,,,,ВТОРНИК,3,12-40,14-10,II,,,,,,,,,,,ВТОРНИК,3,12-40,14-10,II,,,,,,,,,,,ВТОРНИК,3,12-40,14-10,II,,,,,,,,,,
ВТОРНИК,4,14-20,15-50,I,,,,,,,,,,,ВТОРНИК,4,14-20,15-50,I,,,,,,,,,,,ВТОРНИК,4,14-20,15-50,I,,,,,,,,,,,ВТОРНИК,4,14-20,15-50,I,,,,,,,,,,,ВТОРНИК,4,14-20,15-50,I,,,,,,,,,,,ВТОРНИК,4,14-20,15-50,I,,,,,,,,,,
ВТОРНИК,4,14-20,15-50,II,,,,,,,,,,,ВТОРНИК,4,14-20,15-50,II,,,,,,,,,,,ВТОРНИК,4,14-20,15-50,II,,,,,,,,,,,ВТОРНИК,4,14-20,15-50,II,,,,,,,,,,,ВТОРНИК,4,14-20,15-50,II,,,,,,,,,,,ВТОРНИК,4,14-20,15-50,II,,,,,,,,,,
ВТОРНИК,5,16-20,17-50,I,,,,,,,,,,,ВТОРНИК,5,16-20,17-50,I,,,,,,,,,,,ВТОРНИК,5,16-20,17-50,I,,,,,,3-17 н. Методология информационно-аналитической работы,пр,Смоленцева Т.Е.,Г-310,,ВТОРНИК,5,16-20,17-50,I,,,,,,3-17 н. Управление информационно-технологическими проектами,пр,Полторак А.В.,Г-312,,ВТОРНИК,5,16-20,17-50,I,3-17 н. Интеллектуальные системы и технологии,пр,Демидова Л.А.,Г-426,,,,,,,ВТОРНИК,5,16-20,17-50,I,,,,,,"3,5 н. Разработка программно-аппаратного обеспечения информационных и автоматизированных систем",пр,Скрябин Ю.М.,Г-109-б,
